ZONE,PER,QUANTITY
1,PER01,NULL
1,PER02,3
1,PER03,4
1,PER04,6
1,PER05,10
1,PER06,10
1,PER07,22
1,PER08,39
1,PER09,62
1,PER10,96
1,PER11,124
1,PER12,147
1,PER13,156
1,PER14,169
1,PER15,183
1,PER16,198
1,PER17,195
1,PER18,212
1,PER19,214
1,PER20,211
1,PER21,205
1,PER22,183
1,PER23,169
1,PER24,175
1,PER25,165
1,PER26,164
1,PER27,158
1,PER28,150
1,PER29,137
1,PER30,153
1,PER31,163
1,PER32,162
1,PER33,149
1,PER34,139
1,PER35,127
1,PER36,110
1,PER37,80
1,PER38,55
1,PER39,52
1,PER40,30
1,PER41,30
1,PER42,21
1,PER43,12
1,PER44,13
1,PER45,7
1,PER46,4
1,PER47,1
1,PER48,1
2,PER01,NULL
2,PER02,1
2,PER03,2
2,PER04,6
2,PER05,10
2,PER06,12
2,PER07,31
2,PER08,72
2,PER09,154
2,PER10,238
2,PER11,281
2,PER12,290
2,PER13,298
2,PER14,291
2,PER15,297
2,PER16,310
2,PER17,327
2,PER18,330
2,PER19,346
2,PER20,355
2,PER21,356
2,PER22,332
2,PER23,326
2,PER24,322
2,PER25,287
2,PER26,267
2,PER27,242
2,PER28,225
2,PER29,214
2,PER30,231
2,PER31,212
2,PER32,166
2,PER33,167
2,PER34,147
2,PER35,116
2,PER36,111
2,PER37,97
2,PER38,68
2,PER39,36
2,PER40,20
2,PER41,12
2,PER42,9
2,PER43,5
2,PER44,2
2,PER45,1
2,PER46,2
2,PER47,2
2,PER48,2
3,PER01,3
3,PER02,9
3,PER03,21
3,PER04,34
3,PER05,74
3,PER06,140
3,PER07,237
3,PER08,464
3,PER09,948
3,PER10,1474
3,PER11,1731
3,PER12,1787
3,PER13,1871
3,PER14,1896
3,PER15,1946
3,PER16,2011
3,PER17,2060
3,PER18,2120
3,PER19,2120
3,PER20,2091
3,PER21,2083
3,PER22,2059
3,PER23,2090
3,PER24,2117
3,PER25,2042
3,PER26,1882
3,PER27,1719
3,PER28,1547
3,PER29,1458
3,PER30,1398
3,PER31,1346
3,PER32,1299
3,PER33,1225
3,PER34,1080
3,PER35,889
3,PER36,732
3,PER37,522
3,PER38,401
3,PER39,311
3,PER40,186
3,PER41,150
3,PER42,96
3,PER43,74
3,PER44,48
3,PER45,29
3,PER46,25
3,PER47,23
3,PER48,10
4,PER01,1
4,PER02,1
4,PER03,3
4,PER04,8
4,PER05,15
4,PER06,23
4,PER07,41
4,PER08,84
4,PER09,150
4,PER10,215
4,PER11,234
4,PER12,238
4,PER13,242
4,PER14,242
4,PER15,257
4,PER16,254
4,PER17,267
4,PER18,306
4,PER19,312
4,PER20,316
4,PER21,300
4,PER22,288
4,PER23,281
4,PER24,267
4,PER25,255
4,PER26,257
4,PER27,235
4,PER28,219
4,PER29,230
4,PER30,243
4,PER31,231
4,PER32,233
4,PER33,202
4,PER34,184
4,PER35,164
4,PER36,126
4,PER37,91
4,PER38,75
4,PER39,65
4,PER40,37
4,PER41,28
4,PER42,18
4,PER43,11
4,PER44,8
4,PER45,4
4,PER46,3
4,PER47,3
4,PER48,3
5,PER01,NULL
5,PER02,NULL
5,PER03,3
5,PER04,12
5,PER05,18
5,PER06,34
5,PER07,44
5,PER08,86
5,PER09,144
5,PER10,229
5,PER11,258
5,PER12,263
5,PER13,295
5,PER14,297
5,PER15,300
5,PER16,308
5,PER17,317
5,PER18,360
5,PER19,381
5,PER20,386
5,PER21,373
5,PER22,345
5,PER23,359
5,PER24,351
5,PER25,327
5,PER26,326
5,PER27,315
5,PER28,282
5,PER29,271
5,PER30,278
5,PER31,276
5,PER32,271
5,PER33,255
5,PER34,235
5,PER35,217
5,PER36,179
5,PER37,134
5,PER38,113
5,PER39,81
5,PER40,52
5,PER41,41
5,PER42,25
5,PER43,16
5,PER44,11
5,PER45,7
5,PER46,7
5,PER47,7
5,PER48,1
6,PER01,4
6,PER02,5
6,PER03,5
6,PER04,9
6,PER05,6
6,PER06,8
6,PER07,20
6,PER08,31
6,PER09,50
6,PER10,72
6,PER11,88
6,PER12,94
6,PER13,102
6,PER14,105
6,PER15,121
6,PER16,132
6,PER17,152
6,PER18,185
6,PER19,220
6,PER20,213
6,PER21,178
6,PER22,152
6,PER23,140
6,PER24,126
6,PER25,117
6,PER26,108
6,PER27,103
6,PER28,96
6,PER29,101
6,PER30,87
6,PER31,87
6,PER32,73
6,PER33,76
6,PER34,79
6,PER35,67
6,PER36,65
6,PER37,50
6,PER38,39
6,PER39,27
6,PER40,16
6,PER41,5
6,PER42,5
6,PER43,2
6,PER44,6
6,PER45,6
6,PER46,4
6,PER47,1
6,PER48,NULL
7,PER01,5
7,PER02,4
7,PER03,14
7,PER04,30
7,PER05,40
7,PER06,66
7,PER07,112
7,PER08,189
7,PER09,309
7,PER10,423
7,PER11,499
7,PER12,549
7,PER13,629
7,PER14,635
7,PER15,663
7,PER16,697
7,PER17,721
7,PER18,761
7,PER19,795
7,PER20,799
7,PER21,778
7,PER22,768
7,PER23,766
7,PER24,770
7,PER25,742
7,PER26,691
7,PER27,662
7,PER28,620
7,PER29,588
7,PER30,598
7,PER31,581
7,PER32,516
7,PER33,470
7,PER34,418
7,PER35,376
7,PER36,326
7,PER37,258
7,PER38,172
7,PER39,117
7,PER40,87
7,PER41,50
7,PER42,41
7,PER43,31
7,PER44,19
7,PER45,10
7,PER46,9
7,PER47,7
7,PER48,4
8,PER01,2
8,PER02,2
8,PER03,4
8,PER04,3
8,PER05,12
8,PER06,12
8,PER07,28
8,PER08,44
8,PER09,68
8,PER10,81
8,PER11,106
8,PER12,101
8,PER13,101
8,PER14,100
8,PER15,108
8,PER16,114
8,PER17,120
8,PER18,141
8,PER19,173
8,PER20,166
8,PER21,132
8,PER22,131
8,PER23,118
8,PER24,105
8,PER25,112
8,PER26,116
8,PER27,99
8,PER28,83
8,PER29,91
8,PER30,91
8,PER31,91
8,PER32,83
8,PER33,88
8,PER34,79
8,PER35,74
8,PER36,46
8,PER37,36
8,PER38,27
8,PER39,11
8,PER40,10
8,PER41,8
8,PER42,9
8,PER43,7
8,PER44,5
8,PER45,4
8,PER46,3
8,PER47,2
8,PER48,NULL
9,PER01,NULL
9,PER02,1
9,PER03,1
9,PER04,2
9,PER05,3
9,PER06,4
9,PER07,13
9,PER08,14
9,PER09,32
9,PER10,52
9,PER11,72
9,PER12,76
9,PER13,71
9,PER14,74
9,PER15,76
9,PER16,78
9,PER17,90
9,PER18,104
9,PER19,113
9,PER20,110
9,PER21,100
9,PER22,98
9,PER23,91
9,PER24,84
9,PER25,81
9,PER26,82
9,PER27,78
9,PER28,70
9,PER29,73
9,PER30,80
9,PER31,61
9,PER32,49
9,PER33,43
9,PER34,39
9,PER35,29
9,PER36,38
9,PER37,26
9,PER38,27
9,PER39,20
9,PER40,15
9,PER41,8
9,PER42,6
9,PER43,7
9,PER44,9
9,PER45,11
9,PER46,10
9,PER47,4
9,PER48,3
10,PER01,4
10,PER02,9
10,PER03,13
10,PER04,24
10,PER05,26
10,PER06,55
10,PER07,107
10,PER08,228
10,PER09,513
10,PER10,850
10,PER11,939
10,PER12,919
10,PER13,891
10,PER14,885
10,PER15,877
10,PER16,891
10,PER17,909
10,PER18,933
10,PER19,926
10,PER20,929
10,PER21,916
10,PER22,921
10,PER23,934
10,PER24,953
10,PER25,858
10,PER26,764
10,PER27,644
10,PER28,543
10,PER29,441
10,PER30,369
10,PER31,320
10,PER32,274
