STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Arts Center,RAIL,33.78918261,-84.38732614,EA,129,556
Lindbergh Center,RAIL,33.8224931,-84.36959926,EA,1654,269
Lenox,RAIL,33.84538918,-84.35809299,EA,14,187
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,EA,66,26
Chamblee,RAIL,33.88746349,-84.30635678,EA,61,74
Buckhead,RAIL,33.84806247,-84.36785871,EA,29,226
Medical Center,RAIL,33.91076675,-84.35150426,EA,13,270
Dunwoody,RAIL,33.92129246,-84.34435935,EA,111,222
Garnett,RAIL,33.74883024,-84.39563408,EA,83,182
West End,RAIL,33.73581105,-84.41366372,EA,807,30
Oakland City,RAIL,33.71704952,-84.42512465,EA,329,31
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,EA,180,18
East Point,RAIL,33.67685698,-84.44074954,EA,439,97
College Park,RAIL,33.65153306,-84.44877472,EA,859,89
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,EA,0,0
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,EA,0,0
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,EA,0,0
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,EA,0,0
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,EA,0,0
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,EA,0,0
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,EA,0,0
King Memorial,RAIL,33.75000421,-84.37543042,EA,62,29
Airport,RAIL,33.64068199,-84.44620592,EA,62,851
North Avenue,RAIL,33.77256732,-84.38699937,EA,206,465
Doraville,RAIL,33.90298663,-84.28025261,EA,123,30
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,EA,804,1456
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,EA,174,971
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,EA,0,0
Park Place Streetcar,RAIL,33.75506728,-84.38820242,EA,0,0
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,EA,0,0
King Historical District,RAIL,33.75548968,-84.37435941,AM,5,1
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,AM,5,4
Sandy Springs,RAIL,33.93218729,-84.35208977,AM,778,1417
North Springs,RAIL,33.94511896,-84.35726606,AM,5254,1433
Georgia State,RAIL,33.75008031,-84.38582967,AM,884,4791
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,AM,1208,511
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,AM,829,326
East Lake,RAIL,33.76519723,-84.31276946,AM,1012,197
Decatur,RAIL,33.77468883,-84.29574279,AM,1002,1816
Avondale,RAIL,33.77514262,-84.28227057,AM,1961,960
Kensington,RAIL,33.77265675,-84.25189439,AM,4376,1069
Indian Creek,RAIL,33.76982934,-84.22965543,AM,5839,378
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,AM,248,1581
Vine City,RAIL,33.75655043,-84.40401403,AM,421,445
Ashby,RAIL,33.75644578,-84.41724351,AM,829,766
West Lake,RAIL,33.75329302,-84.44534298,AM,658,200
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,AM,4728,926
Bankhead,RAIL,33.77218678,-84.42893117,AM,814,361
Peachtree Center,RAIL,33.75967751,-84.38756755,AM,1187,6119
Civic Center,RAIL,33.76648821,-84.38749686,AM,2228,2129
Midtown,RAIL,33.78111994,-84.38633917,AM,2145,4700
Arts Center,RAIL,33.78918261,-84.38732614,AM,2131,6005
Lindbergh Center,RAIL,33.8224931,-84.36959926,AM,6165,3805
Lenox,RAIL,33.84538918,-84.35809299,AM,712,1756
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,AM,1374,445
Chamblee,RAIL,33.88746349,-84.30635678,AM,1472,1049
Buckhead,RAIL,33.84806247,-84.36785871,AM,681,3149
Medical Center,RAIL,33.91076675,-84.35150426,AM,467,2069
Dunwoody,RAIL,33.92129246,-84.34435935,AM,1423,2405
Garnett,RAIL,33.74883024,-84.39563408,AM,372,1743
West End,RAIL,33.73581105,-84.41366372,AM,2737,1298
Oakland City,RAIL,33.71704952,-84.42512465,AM,2521,514
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,AM,1535,328
East Point,RAIL,33.67685698,-84.44074954,AM,2907,1170
College Park,RAIL,33.65153306,-84.44877472,AM,7892,984
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,AM,6,9
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,AM,3,7
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,AM,2,0
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,AM,0,3
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,AM,1,2
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,AM,6,4
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,AM,3,6
King Memorial,RAIL,33.75000421,-84.37543042,AM,657,437
Airport,RAIL,33.64068199,-84.44620592,AM,504,3786
North Avenue,RAIL,33.77256732,-84.38699937,AM,1421,4046
Doraville,RAIL,33.90298663,-84.28025261,AM,4329,656
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,AM,15562,14791
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,AM,7306,18008
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,AM,7,8
Park Place Streetcar,RAIL,33.75506728,-84.38820242,AM,5,8
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,AM,1,0
King Historical District,RAIL,33.75548968,-84.37435941,MD,5,0
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,MD,5,10
Sandy Springs,RAIL,33.93218729,-84.35208977,MD,599,622
North Springs,RAIL,33.94511896,-84.35726606,MD,1037,1003
Georgia State,RAIL,33.75008031,-84.38582967,MD,1515,1488
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,MD,717,711
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,MD,376,429
East Lake,RAIL,33.76519723,-84.31276946,MD,318,270
Decatur,RAIL,33.77468883,-84.29574279,MD,811,849
Avondale,RAIL,33.77514262,-84.28227057,MD,831,774
Kensington,RAIL,33.77265675,-84.25189439,MD,1271,1235
Indian Creek,RAIL,33.76982934,-84.22965543,MD,1310,1177
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,MD,582,635
Vine City,RAIL,33.75655043,-84.40401403,MD,378,387
Ashby,RAIL,33.75644578,-84.41724351,MD,539,550
West Lake,RAIL,33.75329302,-84.44534298,MD,337,306
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,MD,1335,1196
Bankhead,RAIL,33.77218678,-84.42893117,MD,414,361
Peachtree Center,RAIL,33.75967751,-84.38756755,MD,2376,2419
Civic Center,RAIL,33.76648821,-84.38749686,MD,985,1022
Midtown,RAIL,33.78111994,-84.38633917,MD,2193,2336
Arts Center,RAIL,33.78918261,-84.38732614,MD,2426,2640
Lindbergh Center,RAIL,33.8224931,-84.36959926,MD,2931,2756
Lenox,RAIL,33.84538918,-84.35809299,MD,778,792
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,MD,495,477
Chamblee,RAIL,33.88746349,-84.30635678,MD,617,578
Buckhead,RAIL,33.84806247,-84.36785871,MD,836,1010
Medical Center,RAIL,33.91076675,-84.35150426,MD,612,634
Dunwoody,RAIL,33.92129246,-84.34435935,MD,946,908
Garnett,RAIL,33.74883024,-84.39563408,MD,690,699
West End,RAIL,33.73581105,-84.41366372,MD,1563,1547
Oakland City,RAIL,33.71704952,-84.42512465,MD,1021,949
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,MD,526,480
East Point,RAIL,33.67685698,-84.44074954,MD,1345,1380
College Park,RAIL,33.65153306,-84.44877472,MD,1748,1575
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,MD,5,10
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,MD,13,12
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,MD,17,4
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,MD,1,1
