FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,77027,14688,605,114236,201165,1143,191263,215853,1748,92320,316544,408864
NFulton,Roswell,17399,3293,155,20264,45134,318,37663,48427,473,20847,65716,86563
NFulton,SandySprings,7104,1225,300,2611,5848,183,9715,7073,483,8629,8642,17271
NFulton,Buckhead,2516,395,342,344,1017,57,2860,1412,399,3253,1418,4671
NFulton,NWAtlanta,431,94,55,56,106,5,487,200,60,580,167,747
NFulton,NEAtlanta,1382,237,274,192,656,93,1574,893,367,1893,941,2834
NFulton,SWAtlanta,335,58,69,62,136,12,397,194,81,462,210,672
NFulton,CBDAtlanta,785,150,506,112,434,110,897,584,616,1441,656,2097
NFulton,SEAtlanta,293,69,38,59,116,12,352,185,50,400,187,587
NFulton,SFulton,76,15,3,21,21,1,97,36,4,94,43,137
NFulton,Tri-Cities,247,60,27,27,90,3,274,150,30,334,120,454
NFulton,Shannon,110,20,6,20,48,1,130,68,7,136,69,205
NFulton,WCherokee,381,63,0,102,290,0,483,353,0,444,392,836
NFulton,NCherokee,324,46,0,71,256,0,395,302,0,370,327,697
NFulton,ECentCherokee,5287,985,1,2934,7689,10,8221,8674,11,6273,10633,16906
NFulton,Woodstock,3244,615,4,1755,4574,5,4999,5189,9,3863,6334,10197
NFulton,Airport,80,18,31,10,24,1,90,42,32,129,35,164
NFulton,NEClayton,137,40,8,49,42,0,186,82,8,185,91,276
NFulton,Riverdale,74,26,2,11,23,1,85,49,3,102,35,137
NFulton,SClayton,88,21,0,19,7,1,107,28,1,109,27,136
NFulton,NWCobb,1665,299,5,467,914,30,2132,1213,35,1969,1411,3380
NFulton,NECobb,5354,996,7,3064,9195,8,8418,10191,15,6357,12267,18624
NFulton,SWCobb,268,44,1,54,128,0,322,172,1,313,182,495
NFulton,Marietta,909,166,2,253,610,16,1162,776,18,1077,879,1956
NFulton,Cumberland,1826,377,25,366,649,6,2192,1026,31,2228,1021,3249
NFulton,SCobb,424,78,9,87,290,1,511,368,10,511,378,889
NFulton,Chamblee,4450,824,174,1495,4015,88,5945,4839,262,5448,5598,11046
NFulton,NWDeKalb,1136,221,39,191,633,19,1327,854,58,1396,843,2239
NFulton,NEDeKalb,1451,255,37,412,914,16,1863,1169,53,1743,1342,3085
NFulton,Atlanta-DeKalb,143,17,18,19,61,7,162,78,25,178,87,265
NFulton,Decatur,160,20,19,35,72,5,195,92,24,199,112,311
NFulton,SWDeKalb,266,56,32,56,104,1,322,160,33,354,161,515
NFulton,SEDeKalb,353,60,14,44,153,3,397,213,17,427,200,627
NFulton,SDeKalb,241,54,10,40,82,2,281,136,12,305,124,429
NFulton,WDouglas,51,7,1,13,53,1,64,60,2,59,67,126
NFulton,EDouglas,132,30,3,26,42,0,158,72,3,165,68,233
NFulton,WFayette,17,8,1,10,23,0,27,31,1,26,33,59
NFulton,EFayette,29,10,1,6,22,0,35,32,1,40,28,68
NFulton,NGwinnett,4839,955,3,2132,5858,17,6971,6813,20,5797,8007,13804
NFulton,CentGwinnett,8706,1748,22,7688,18253,42,16394,20001,64,10476,25983,36459
NFulton,EGwinnett,830,137,0,175,365,3,1005,502,3,967,543,1510
NFulton,Norcross,6993,1364,22,3998,10453,31,10991,11817,53,8379,14482,22861
NFulton,Lilburn,843,145,4,340,809,3,1183,954,7,992,1152,2144
NFulton,Snellville,876,151,2,203,416,4,1079,567,6,1029,623,1652
NFulton,NHenry,79,17,0,22,35,0,101,52,0,96,57,153
NFulton,EHenry,42,9,0,11,24,0,53,33,0,51,35,86
NFulton,SHenry,45,5,0,16,15,0,61,20,0,50,31,81
NFulton,SRockdale,65,4,0,12,28,0,77,32,0,69,40,109
NFulton,NRockdale,106,17,1,26,19,2,132,36,3,124,47,171
NFulton,NBarrow,243,47,0,44,67,1,287,114,1,290,112,402
NFulton,SBarrow,179,25,0,32,45,0,211,70,0,204,77,281
NFulton,NWBartow,41,6,0,9,32,0,50,38,0,47,41,88
NFulton,NEBartow,68,16,0,30,56,0,98,72,0,84,86,170
NFulton,SWBartow,60,13,0,24,53,0,84,66,0,73,77,150
NFulton,Cartersville,237,44,0,61,109,0,298,153,0,281,170,451
NFulton,NECarroll,9,2,0,6,8,0,15,10,0,11,14,25
NFulton,WCarroll,0,0,0,0,0,0,0,0,0,0,0,0
NFulton,CentralCarroll,7,0,0,3,1,0,10,1,0,7,4,11
NFulton,SECarroll,1,0,0,0,0,0,1,0,0,1,0,1
NFulton,WCoweta,4,1,1,0,0,0,4,1,1,6,0,6
NFulton,NCoweta,15,1,0,2,22,0,17,23,0,16,24,40
NFulton,SCoweta,1,0,0,0,0,0,1,0,0,1,0,1
NFulton,SECoweta,1,1,0,0,1,0,1,2,0,2,1,3
NFulton,NForsyth,2039,333,0,424,1261,0,2463,1594,0,2372,1685,4057
NFulton,Cumming,8619,1522,12,3785,11469,19,12404,12991,31,10153,15273,25426
NFulton,SForsyth,13061,2595,42,13750,29335,73,26811,31930,115,15698,43158,58856
NFulton,NHall,242,50,0,45,125,0,287,175,0,292,170,462
NFulton,Gainesville,621,131,0,95,238,0,716,369,0,752,333,1085
NFulton,SHall,760,128,1,152,286,0,912,414,1,889,438,1327
NFulton,WNewton,99,20,1,9,51,1,108,71,2,120,61,181
NFulton,ENewton,4,1,0,2,3,0,6,4,0,5,5,10
NFulton,NPaulding,133,25,0,22,62,0,155,87,0,158,84,242
NFulton,WPaulding,19,5,0,4,6,0,23,11,0,24,10,34
NFulton,EPaulding,232,34,0,44,56,1,276,90,1,266,101,367
NFulton,NSpalding,7,2,0,1,2,0,8,4,0,9,3,12
NFulton,SSpalding,0,0,0,2,0,0,2,0,0,0,2,2
NFulton,WWalton,199,40,0,43,69,1,242,109,1,239,113,352
NFulton,EWalton,99,15,0,23,32,0,122,47,0,114,55,169
