STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
King Historical District,RAIL,33.75548968,-84.37435941,DAILY,5.99,5
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,DAILY,16,27
Sandy Springs,RAIL,33.93218729,-84.35208977,DAILY,3668.53,3856.01
North Springs,RAIL,33.94511896,-84.35726606,DAILY,8211.36,8153.54
Georgia State,RAIL,33.75008031,-84.38582967,DAILY,7505.08,7281.32
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,DAILY,2653.98,2604.76
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,DAILY,1740.16,1634.32
East Lake,RAIL,33.76519723,-84.31276946,DAILY,1717.96,1791.26
Decatur,RAIL,33.77468883,-84.29574279,DAILY,4141.47,4304.49
Avondale,RAIL,33.77514262,-84.28227057,DAILY,4185.08,4143.98
Kensington,RAIL,33.77265675,-84.25189439,DAILY,7401.39,7644.45
Indian Creek,RAIL,33.76982934,-84.22965543,DAILY,7957.34,7281.73
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,DAILY,2434.12,2553.02
Vine City,RAIL,33.75655043,-84.40401403,DAILY,1581.8,1490.61
Ashby,RAIL,33.75644578,-84.41724351,DAILY,2507.26,2616.12
West Lake,RAIL,33.75329302,-84.44534298,DAILY,1257.74,1263.88
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,DAILY,7581.34,7350.67
Bankhead,RAIL,33.77218678,-84.42893117,DAILY,1803.36,1761.33
Peachtree Center,RAIL,33.75967751,-84.38756755,DAILY,10983.2,11521.96
Civic Center,RAIL,33.76648821,-84.38749686,DAILY,5440.73,5096.32
Midtown,RAIL,33.78111994,-84.38633917,DAILY,10674.62,11380.13
Arts Center,RAIL,33.78918261,-84.38732614,DAILY,11233.82,11402
Lindbergh Center,RAIL,33.8224931,-84.36959926,DAILY,17835.9,17205.54
Lenox,RAIL,33.84538918,-84.35809299,DAILY,4297.73,4285.81
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,DAILY,2657.64,2617.84
Chamblee,RAIL,33.88746349,-84.30635678,DAILY,3555.15,3526.75
Buckhead,RAIL,33.84806247,-84.36785871,DAILY,4900.05,5941.42
Medical Center,RAIL,33.91076675,-84.35150426,DAILY,3509.59,4002.23
Dunwoody,RAIL,33.92129246,-84.34435935,DAILY,5252.64,5855.25
Garnett,RAIL,33.74883024,-84.39563408,DAILY,3291.74,3237.26
West End,RAIL,33.73581105,-84.41366372,DAILY,7088.62,7882.06
Oakland City,RAIL,33.71704952,-84.42512465,DAILY,4507.36,4459.47
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,DAILY,2641.8,2597.6
East Point,RAIL,33.67685698,-84.44074954,DAILY,6519.1,6971.08
College Park,RAIL,33.65153306,-84.44877472,DAILY,11991.28,11565
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,DAILY,19,14
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,DAILY,32,19
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,DAILY,61.02,104.04
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,DAILY,5,5
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,DAILY,5,13
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,DAILY,28,35
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,DAILY,13,15
King Memorial,RAIL,33.75000421,-84.37543042,DAILY,1718.88,1970.76
Airport,RAIL,33.64068199,-84.44620592,DAILY,11370.73,8338.13
North Avenue,RAIL,33.77256732,-84.38699937,DAILY,9039,8795.34
Doraville,RAIL,33.90298663,-84.28025261,DAILY,6544.98,6882.06
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,DAILY,43375.4,43018.14
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,DAILY,34406.71,34900.94
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,DAILY,26,17
Park Place Streetcar,RAIL,33.75506728,-84.38820242,DAILY,34,28
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,DAILY,4,11
King Historical District,RAIL,33.75548968,-84.37435941,EA,0,0
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,EA,0,0
Sandy Springs,RAIL,33.93218729,-84.35208977,EA,43,133
North Springs,RAIL,33.94511896,-84.35726606,EA,133,123
Georgia State,RAIL,33.75008031,-84.38582967,EA,26,204
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,EA,113,28
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,EA,99,26
East Lake,RAIL,33.76519723,-84.31276946,EA,48,9
Decatur,RAIL,33.77468883,-84.29574279,EA,32,81
Avondale,RAIL,33.77514262,-84.28227057,EA,101,54
Kensington,RAIL,33.77265675,-84.25189439,EA,254,48
Indian Creek,RAIL,33.76982934,-84.22965543,EA,187,14
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,EA,4,90
Vine City,RAIL,33.75655043,-84.40401403,EA,54,27
Ashby,RAIL,33.75644578,-84.41724351,EA,154,25
West Lake,RAIL,33.75329302,-84.44534298,EA,55,4
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,EA,212,44
Bankhead,RAIL,33.77218678,-84.42893117,EA,43,10
Peachtree Center,RAIL,33.75967751,-84.38756755,EA,53,577
Civic Center,RAIL,33.76648821,-84.38749686,EA,63,226
Midtown,RAIL,33.78111994,-84.38633917,EA,181,358
Arts Center,RAIL,33.78918261,-84.38732614,EA,105,483
Lindbergh Center,RAIL,33.8224931,-84.36959926,EA,1537,241
Lenox,RAIL,33.84538918,-84.35809299,EA,29,197
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,EA,62,33
Chamblee,RAIL,33.88746349,-84.30635678,EA,61,88
Buckhead,RAIL,33.84806247,-84.36785871,EA,16,231
Medical Center,RAIL,33.91076675,-84.35150426,EA,17,232
Dunwoody,RAIL,33.92129246,-84.34435935,EA,93,177
Garnett,RAIL,33.74883024,-84.39563408,EA,80,182
West End,RAIL,33.73581105,-84.41366372,EA,790,34
Oakland City,RAIL,33.71704952,-84.42512465,EA,249,38
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,EA,187,19
East Point,RAIL,33.67685698,-84.44074954,EA,420,72
College Park,RAIL,33.65153306,-84.44877472,EA,788,80
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,EA,0,0
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,EA,0,0
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,EA,0,0
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,EA,0,0
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,EA,0,0
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,EA,0,0
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,EA,0,0
King Memorial,RAIL,33.75000421,-84.37543042,EA,61,25
Airport,RAIL,33.64068199,-84.44620592,EA,61,817
North Avenue,RAIL,33.77256732,-84.38699937,EA,193,461
Doraville,RAIL,33.90298663,-84.28025261,EA,163,32
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,EA,790,1280
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,EA,148,902
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,EA,0,0
Park Place Streetcar,RAIL,33.75506728,-84.38820242,EA,0,0
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,EA,0,0
King Historical District,RAIL,33.75548968,-84.37435941,AM,3.99,2
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,AM,12,2
Sandy Springs,RAIL,33.93218729,-84.35208977,AM,1128,1414
North Springs,RAIL,33.94511896,-84.35726606,AM,4890,1313
Georgia State,RAIL,33.75008031,-84.38582967,AM,809,4570
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,AM,1045,388
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,AM,799,321
East Lake,RAIL,33.76519723,-84.31276946,AM,1012,161
Decatur,RAIL,33.77468883,-84.29574279,AM,917,1833
Avondale,RAIL,33.77514262,-84.28227057,AM,1886,945
Kensington,RAIL,33.77265675,-84.25189439,AM,4128,1073
Indian Creek,RAIL,33.76982934,-84.22965543,AM,5781,372
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,AM,159,1380
Vine City,RAIL,33.75655043,-84.40401403,AM,369,425
Ashby,RAIL,33.75644578,-84.41724351,AM,786,780
West Lake,RAIL,33.75329302,-84.44534298,AM,555,196
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,AM,4628,792
Bankhead,RAIL,33.77218678,-84.42893117,AM,803,352
Peachtree Center,RAIL,33.75967751,-84.38756755,AM,889,6107
Civic Center,RAIL,33.76648821,-84.38749686,AM,1532,2141
Midtown,RAIL,33.78111994,-84.38633917,AM,2036,4882
Arts Center,RAIL,33.78918261,-84.38732614,AM,1814,4929
Lindbergh Center,RAIL,33.8224931,-84.36959926,AM,6001,3572
Lenox,RAIL,33.84538918,-84.35809299,AM,680,1862
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,AM,1369,437
Chamblee,RAIL,33.88746349,-84.30635678,AM,1457,1045
Buckhead,RAIL,33.84806247,-84.36785871,AM,630,2841
Medical Center,RAIL,33.91076675,-84.35150426,AM,465,2001
Dunwoody,RAIL,33.92129246,-84.34435935,AM,1470,2255
Garnett,RAIL,33.74883024,-84.39563408,AM,376,1684
West End,RAIL,33.73581105,-84.41366372,AM,2593,1271
Oakland City,RAIL,33.71704952,-84.42512465,AM,2346,474
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,AM,1438,286
East Point,RAIL,33.67685698,-84.44074954,AM,3057,1220
College Park,RAIL,33.65153306,-84.44877472,AM,7746,935
