FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,80706,15091,626,124811,209011,1117,205517,224102,1743,96423,334939,431362
NFulton,Roswell,17591,3274,183,22116,47204,378,39707,50478,561,21048,69698,90746
NFulton,SandySprings,7085,1245,283,2711,6141,145,9796,7386,428,8613,8997,17610
NFulton,Buckhead,2759,385,333,374,978,67,3133,1363,400,3477,1419,4896
NFulton,NWAtlanta,440,71,51,62,241,13,502,312,64,562,316,878
NFulton,NEAtlanta,1448,247,342,222,589,106,1670,836,448,2037,917,2954
NFulton,SWAtlanta,329,63,56,64,117,19,393,180,75,448,200,648
NFulton,CBDAtlanta,708,169,513,112,434,99,820,603,612,1390,645,2035
NFulton,SEAtlanta,270,89,46,54,140,14,324,229,60,405,208,613
NFulton,SFulton,84,9,0,30,55,0,114,64,0,93,85,178
NFulton,Tri-Cities,225,51,30,52,123,2,277,174,32,306,177,483
NFulton,Shannon,96,12,5,29,25,6,125,37,11,113,60,173
NFulton,WCherokee,454,79,0,115,353,0,569,432,0,533,468,1001
NFulton,NCherokee,377,72,0,113,294,0,490,366,0,449,407,856
NFulton,ECentCherokee,6400,1120,11,3723,10720,5,10123,11840,16,7531,14448,21979
NFulton,Woodstock,3403,609,2,2154,5332,5,5557,5941,7,4014,7491,11505
NFulton,Airport,76,21,23,6,27,0,82,48,23,120,33,153
NFulton,NEClayton,164,46,7,41,74,1,205,120,8,217,116,333
NFulton,Riverdale,82,18,3,16,21,3,98,39,6,103,40,143
NFulton,SClayton,77,12,3,12,32,1,89,44,4,92,45,137
NFulton,NWCobb,1582,320,5,471,965,19,2053,1285,24,1907,1455,3362
NFulton,NECobb,5092,985,13,3340,8500,8,8432,9485,21,6090,11848,17938
NFulton,SWCobb,251,43,2,48,122,0,299,165,2,296,170,466
NFulton,Marietta,913,173,5,294,627,19,1207,800,24,1091,940,2031
NFulton,Cumberland,1974,348,27,344,770,11,2318,1118,38,2349,1125,3474
NFulton,SCobb,461,70,9,90,182,0,551,252,9,540,272,812
NFulton,Chamblee,4839,827,202,1556,4024,79,6395,4851,281,5868,5659,11527
NFulton,NWDeKalb,1025,180,32,242,912,34,1267,1092,66,1237,1188,2425
NFulton,NEDeKalb,1532,261,16,418,1010,18,1950,1271,34,1809,1446,3255
NFulton,Atlanta-DeKalb,124,23,15,19,95,3,143,118,18,162,117,279
NFulton,Decatur,168,16,11,30,39,3,198,55,14,195,72,267
NFulton,SWDeKalb,347,54,32,71,130,2,418,184,34,433,203,636
NFulton,SEDeKalb,411,60,12,81,124,5,492,184,17,483,210,693
NFulton,SDeKalb,286,49,5,71,104,6,357,153,11,340,181,521
NFulton,WDouglas,60,12,1,20,29,0,80,41,1,73,49,122
NFulton,EDouglas,142,12,2,41,77,0,183,89,2,156,118,274
NFulton,WFayette,29,6,0,5,45,0,34,51,0,35,50,85
NFulton,EFayette,38,10,1,9,38,0,47,48,1,49,47,96
NFulton,NGwinnett,5687,1004,1,2601,6750,8,8288,7754,9,6692,9359,16051
NFulton,CentGwinnett,9955,1972,23,8673,20404,45,18628,22376,68,11950,29122,41072
NFulton,EGwinnett,929,151,0,191,340,0,1120,491,0,1080,531,1611
NFulton,Norcross,7274,1462,29,4611,11433,38,11885,12895,67,8765,16082,24847
NFulton,Lilburn,939,177,1,407,979,2,1346,1156,3,1117,1388,2505
NFulton,Snellville,894,147,0,234,526,2,1128,673,2,1041,762,1803
NFulton,NHenry,108,12,0,20,28,0,128,40,0,120,48,168
NFulton,EHenry,44,3,0,12,19,0,56,22,0,47,31,78
NFulton,SHenry,64,11,0,13,7,0,77,18,0,75,20,95
NFulton,SRockdale,82,19,1,13,9,0,95,28,1,102,22,124
NFulton,NRockdale,104,18,0,31,47,1,135,65,1,122,79,201
NFulton,NBarrow,319,47,0,59,73,0,378,120,0,366,132,498
NFulton,SBarrow,216,40,0,30,62,0,246,102,0,256,92,348
NFulton,NWBartow,37,6,0,15,27,0,52,33,0,43,42,85
NFulton,NEBartow,76,13,0,33,53,0,109,66,0,89,86,175
NFulton,SWBartow,74,18,0,23,87,0,97,105,0,92,110,202
NFulton,Cartersville,232,45,0,72,114,0,304,159,0,277,186,463
NFulton,NECarroll,14,0,0,4,3,0,18,3,0,14,7,21
NFulton,WCarroll,1,0,0,0,1,0,1,1,0,1,1,2
NFulton,CentralCarroll,5,0,0,2,2,0,7,2,0,5,4,9
NFulton,SECarroll,1,0,0,0,0,0,1,0,0,1,0,1
NFulton,WCoweta,4,1,0,3,2,0,7,3,0,5,5,10
NFulton,NCoweta,17,1,0,4,9,0,21,10,0,18,13,31
NFulton,SCoweta,1,0,0,0,0,0,1,0,0,1,0,1
NFulton,SECoweta,3,0,0,1,0,0,4,0,0,3,1,4
NFulton,NForsyth,3471,557,0,665,1781,1,4136,2338,1,4028,2447,6475
NFulton,Cumming,12275,2180,19,4871,13822,19,17146,16002,38,14474,18712,33186
NFulton,SForsyth,16318,3064,60,17204,36854,70,33522,39918,130,19442,54128,73570
NFulton,NHall,301,43,0,47,143,0,348,186,0,344,190,534
NFulton,Gainesville,707,121,1,107,291,0,814,412,1,829,398,1227
NFulton,SHall,884,151,1,179,351,0,1063,502,1,1036,530,1566
NFulton,WNewton,112,19,0,29,46,0,141,65,0,131,75,206
NFulton,ENewton,10,2,0,2,4,0,12,6,0,12,6,18
NFulton,NPaulding,108,17,0,33,46,0,141,63,0,125,79,204
NFulton,WPaulding,28,5,0,19,12,0,47,17,0,33,31,64
NFulton,EPaulding,256,41,1,67,53,0,323,94,1,298,120,418
NFulton,NSpalding,4,2,0,4,52,0,8,54,0,6,56,62
NFulton,SSpalding,3,0,0,1,0,0,4,0,0,3,1,4
NFulton,WWalton,218,34,1,41,85,1,259,119,2,253,127,380
NFulton,EWalton,115,20,0,37,41,0,152,61,0,135,78,213
Roswell,NFulton,17735,3301,170,22160,47143,366,39895,50444,536,21206,69669,90875
Roswell,Roswell,27710,4957,223,58123,111155,535,85833,116112,758,32890,169813,202703
Roswell,SandySprings,7421,1198,216,6463,14254,259,13884,15452,475,8835,20976,29811
Roswell,Buckhead,2287,356,273,479,1313,84,2766,1669,357,2916,1876,4792
Roswell,NWAtlanta,357,58,28,57,151,7,414,209,35,443,215,658
Roswell,NEAtlanta,1169,207,287,235,561,127,1404,768,414,1663,923,2586
Roswell,SWAtlanta,254,50,31,47,69,21,301,119,52,335,137,472
Roswell,CBDAtlanta,677,155,604,113,382,109,790,537,713,1436,604,2040
Roswell,SEAtlanta,185,57,36,40,83,13,225,140,49,278,136,414
Roswell,SFulton,84,7,1,17,20,0,101,27,1,92,37,129
Roswell,Tri-Cities,189,55,17,29,59,4,218,114,21,261,92,353
Roswell,Shannon,73,11,0,15,37,2,88,48,2,84,54,138
Roswell,WCherokee,191,32,0,48,159,0,239,191,0,223,207,430
Roswell,NCherokee,108,17,0,37,94,0,145,111,0,125,131,256
Roswell,ECentCherokee,2169,395,2,1140,3494,0,3309,3889,2,2566,4634,7200
Roswell,Woodstock,2685,430,8,1612,4604,2,4297,5034,10,3123,6218,9341
Roswell,Airport,76,15,46,10,11,0,86,26,46,137,21,158
Roswell,NEClayton,109,30,1,17,51,1,126,81,2,140,69,209
Roswell,Riverdale,54,9,0,11,20,0,65,29,0,63,31,94
Roswell,SClayton,45,6,0,20,26,0,65,32,0,51,46,97
Roswell,NWCobb,1231,235,1,490,1139,20,1721,1374,21,1467,1649,3116
Roswell,NECobb,5967,1063,11,6802,16902,5,12769,17965,16,7041,23709,30750
Roswell,SWCobb,225,31,0,72,108,0,297,139,0,256,180,436
Roswell,Marietta,935,165,3,423,738,26,1358,903,29,1103,1187,2290
Roswell,Cumberland,1716,284,23,581,1357,11,2297,1641,34,2023,1949,3972
Roswell,SCobb,338,59,4,92,269,2,430,328,6,401,363,764
Roswell,Chamblee,4179,728,105,2556,6499,92,6735,7227,197,5012,9147,14159
Roswell,NWDeKalb,766,139,17,220,769,33,986,908,50,922,1022,1944
