STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
King Historical District,RAIL,33.75548968,-84.37435941,DAILY,5,4
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,DAILY,9,37
Sandy Springs,RAIL,33.93218729,-84.35208977,DAILY,3435.78,4029
North Springs,RAIL,33.94511896,-84.35726606,DAILY,8726.56,8485.57
Georgia State,RAIL,33.75008031,-84.38582967,DAILY,8563.58,8289.62
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,DAILY,3205.9,3185.5
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,DAILY,2240.84,2157.96
East Lake,RAIL,33.76519723,-84.31276946,DAILY,2001.4,2029.06
Decatur,RAIL,33.77468883,-84.29574279,DAILY,5024.09,5103.68
Avondale,RAIL,33.77514262,-84.28227057,DAILY,4633.05,4783.34
Kensington,RAIL,33.77265675,-84.25189439,DAILY,8737.94,8639.58
Indian Creek,RAIL,33.76982934,-84.22965543,DAILY,8606.16,7851.97
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,DAILY,3674.58,3754.46
Vine City,RAIL,33.75655043,-84.40401403,DAILY,2046.08,1928.07
Ashby,RAIL,33.75644578,-84.41724351,DAILY,3043.74,3108.21
West Lake,RAIL,33.75329302,-84.44534298,DAILY,1681.71,1697.25
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,DAILY,8341.63,8769.35
Bankhead,RAIL,33.77218678,-84.42893117,DAILY,2328.44,2269.71
Peachtree Center,RAIL,33.75967751,-84.38756755,DAILY,13356.46,13326.28
Civic Center,RAIL,33.76648821,-84.38749686,DAILY,7208.5,6749.15
Midtown,RAIL,33.78111994,-84.38633917,DAILY,12852.4,13838.46
Arts Center,RAIL,33.78918261,-84.38732614,DAILY,15070.58,15330.56
Lindbergh Center,RAIL,33.8224931,-84.36959926,DAILY,20181.2,19325.22
Lenox,RAIL,33.84538918,-84.35809299,DAILY,5014.77,4757.98
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,DAILY,2875.45,2959.61
Chamblee,RAIL,33.88746349,-84.30635678,DAILY,3695.54,3808.37
Buckhead,RAIL,33.84806247,-84.36785871,DAILY,5871.63,7343.07
Medical Center,RAIL,33.91076675,-84.35150426,DAILY,3869.11,4454.61
Dunwoody,RAIL,33.92129246,-84.34435935,DAILY,6725.33,7105.79
Garnett,RAIL,33.74883024,-84.39563408,DAILY,3709.9,3802.94
West End,RAIL,33.73581105,-84.41366372,DAILY,8023.34,8198.86
Oakland City,RAIL,33.71704952,-84.42512465,DAILY,5452.73,5298.66
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,DAILY,3366.14,3452.88
East Point,RAIL,33.67685698,-84.44074954,DAILY,7307.56,8229.08
College Park,RAIL,33.65153306,-84.44877472,DAILY,13867.92,13305
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,DAILY,23,39
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,DAILY,32,40
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,DAILY,37,12
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,DAILY,10,12
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,DAILY,9,17
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,DAILY,47,40
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,DAILY,22,9
King Memorial,RAIL,33.75000421,-84.37543042,DAILY,2206,2528.02
Airport,RAIL,33.64068199,-84.44620592,DAILY,13425.75,9868.42
North Avenue,RAIL,33.77256732,-84.38699937,DAILY,10222.99,10088.19
Doraville,RAIL,33.90298663,-84.28025261,DAILY,7738.47,8179.53
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,DAILY,50850.22,50911
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,DAILY,41080.78,41320.1
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,DAILY,44,35
Park Place Streetcar,RAIL,33.75506728,-84.38820242,DAILY,41,17
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,DAILY,9,4
East Point Comuter Rail,RAIL,33.67765041,-84.43923973,DAILY,43,48
Hapeville Commuter Rail,RAIL,33.65902778,-84.40952643,DAILY,123,124
Mountain View Commuter Ra,RAIL,33.64200531,-84.39023372,DAILY,117,121.98
Forest Park Commuter Rail,RAIL,33.62008626,-84.3632386,DAILY,200,224
Clayton State Commuter Ra,RAIL,33.59478041,-84.33478169,DAILY,664.31,676
Southlake Commuter Rail,RAIL,33.5748687,-84.34137575,DAILY,428.09,381
Jonesboro Commuter Rail,RAIL,33.52257787,-84.35420243,DAILY,463.58,464
King Historical District,RAIL,33.75548968,-84.37435941,EA,0,0
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,EA,0,0
Sandy Springs,RAIL,33.93218729,-84.35208977,EA,43,168
North Springs,RAIL,33.94511896,-84.35726606,EA,185,147
Georgia State,RAIL,33.75008031,-84.38582967,EA,23,241
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,EA,131,47
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,EA,114,28
East Lake,RAIL,33.76519723,-84.31276946,EA,53,7
Decatur,RAIL,33.77468883,-84.29574279,EA,36,106
Avondale,RAIL,33.77514262,-84.28227057,EA,95,71
Kensington,RAIL,33.77265675,-84.25189439,EA,319,42
Indian Creek,RAIL,33.76982934,-84.22965543,EA,236,13
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,EA,10,107
Vine City,RAIL,33.75655043,-84.40401403,EA,53,31
Ashby,RAIL,33.75644578,-84.41724351,EA,141,27
West Lake,RAIL,33.75329302,-84.44534298,EA,84,15
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,EA,224,60
Bankhead,RAIL,33.77218678,-84.42893117,EA,69,18
Peachtree Center,RAIL,33.75967751,-84.38756755,EA,102,724
Civic Center,RAIL,33.76648821,-84.38749686,EA,124,234
Midtown,RAIL,33.78111994,-84.38633917,EA,245,502
Arts Center,RAIL,33.78918261,-84.38732614,EA,182,587
Lindbergh Center,RAIL,33.8224931,-84.36959926,EA,1815,286
Lenox,RAIL,33.84538918,-84.35809299,EA,26,227
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,EA,84,48
Chamblee,RAIL,33.88746349,-84.30635678,EA,72,94
Buckhead,RAIL,33.84806247,-84.36785871,EA,40,315
Medical Center,RAIL,33.91076675,-84.35150426,EA,29,284
Dunwoody,RAIL,33.92129246,-84.34435935,EA,127,314
