STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
King Historical District,RAIL,33.75548968,-84.37435941,DAILY,6,6
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,DAILY,11,29
Sandy Springs,RAIL,33.93218729,-84.35208977,DAILY,3244.95,3786.57
North Springs,RAIL,33.94511896,-84.35726606,DAILY,8732.38,8481.03
Georgia State,RAIL,33.75008031,-84.38582967,DAILY,8001.68,7839.52
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,DAILY,2953.98,2967.22
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,DAILY,1849.58,1751.7
East Lake,RAIL,33.76519723,-84.31276946,DAILY,1763.82,1850.56
Decatur,RAIL,33.77468883,-84.29574279,DAILY,4175.91,4223.93
Avondale,RAIL,33.77514262,-84.28227057,DAILY,4271.98,4330.39
Kensington,RAIL,33.77265675,-84.25189439,DAILY,7817.94,8032.29
Indian Creek,RAIL,33.76982934,-84.22965543,DAILY,7939.7,7323.12
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,DAILY,2949.54,3081.17
Vine City,RAIL,33.75655043,-84.40401403,DAILY,1755.23,1587.84
Ashby,RAIL,33.75644578,-84.41724351,DAILY,2712.92,2795.38
West Lake,RAIL,33.75329302,-84.44534298,DAILY,1483.94,1449.41
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,DAILY,8060.64,7971.79
Bankhead,RAIL,33.77218678,-84.42893117,DAILY,1975.1,1941.86
Peachtree Center,RAIL,33.75967751,-84.38756755,DAILY,12085.14,12174.58
Civic Center,RAIL,33.76648821,-84.38749686,DAILY,6670.38,6196.27
Midtown,RAIL,33.78111994,-84.38633917,DAILY,11087.16,11994.34
Arts Center,RAIL,33.78918261,-84.38732614,DAILY,13404.44,13623.88
Lindbergh Center,RAIL,33.8224931,-84.36959926,DAILY,18606.24,17792.18
Lenox,RAIL,33.84538918,-84.35809299,DAILY,4640.39,4421.04
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,DAILY,2727.88,2738.53
Chamblee,RAIL,33.88746349,-84.30635678,DAILY,3645.81,3706.74
Buckhead,RAIL,33.84806247,-84.36785871,DAILY,5243.3,6479.37
Medical Center,RAIL,33.91076675,-84.35150426,DAILY,3816.21,4321.74
Dunwoody,RAIL,33.92129246,-84.34435935,DAILY,5709.81,6265.53
Garnett,RAIL,33.74883024,-84.39563408,DAILY,3389.9,3432.75
West End,RAIL,33.73581105,-84.41366372,DAILY,7553.44,8265.9
Oakland City,RAIL,33.71704952,-84.42512465,DAILY,4873.92,4788.64
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,DAILY,2949.44,2896.68
East Point,RAIL,33.67685698,-84.44074954,DAILY,6906.12,7602.08
College Park,RAIL,33.65153306,-84.44877472,DAILY,12711.18,12258
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,DAILY,31,18
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,DAILY,36,32
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,DAILY,23,28
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,DAILY,9,9
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,DAILY,12,10
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,DAILY,20,42
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,DAILY,21,11
King Memorial,RAIL,33.75000421,-84.37543042,DAILY,1743.59,2034.28
Airport,RAIL,33.64068199,-84.44620592,DAILY,12065.69,8734.73
North Avenue,RAIL,33.77256732,-84.38699937,DAILY,9576.69,9404.24
Doraville,RAIL,33.90298663,-84.28025261,DAILY,7062.8,7317.34
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,DAILY,46107.28,46128.34
