FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,78465,14739,609,117481,200048,1068,195946,214787,1677,93813,318597,412410
NFulton,Roswell,17484,3378,176,20970,45064,262,38454,48442,438,21038,66296,87334
NFulton,SandySprings,7246,1238,282,2691,5842,149,9937,7080,431,8766,8682,17448
NFulton,Buckhead,2672,410,314,378,1102,61,3050,1512,375,3396,1541,4937
NFulton,NWAtlanta,406,83,50,58,123,6,464,206,56,539,187,726
NFulton,NEAtlanta,1454,249,283,217,633,96,1671,882,379,1986,946,2932
NFulton,SWAtlanta,264,44,62,72,112,13,336,156,75,370,197,567
NFulton,CBDAtlanta,826,180,525,126,407,71,952,587,596,1531,604,2135
NFulton,SEAtlanta,257,69,38,54,99,10,311,168,48,364,163,527
NFulton,SFulton,96,16,5,18,14,4,114,30,9,117,36,153
NFulton,Tri-Cities,254,65,38,34,105,6,288,170,44,357,145,502
NFulton,Shannon,68,21,10,25,32,3,93,53,13,99,60,159
NFulton,WCherokee,385,76,0,124,334,0,509,410,0,461,458,919
NFulton,NCherokee,316,53,0,95,346,0,411,399,0,369,441,810
NFulton,ECentCherokee,5457,1048,5,3074,8524,10,8531,9572,15,6510,11608,18118
NFulton,Woodstock,3184,591,5,1933,4621,4,5117,5212,9,3780,6558,10338
NFulton,Airport,67,17,20,9,17,2,76,34,22,104,28,132
NFulton,NEClayton,148,38,4,41,34,1,189,72,5,190,76,266
NFulton,Riverdale,85,34,10,18,37,1,103,71,11,129,56,185
NFulton,SClayton,64,18,3,17,29,0,81,47,3,85,46,131
NFulton,NWCobb,1543,283,5,490,926,32,2033,1209,37,1831,1448,3279
NFulton,NECobb,5406,1007,12,3131,8368,11,8537,9375,23,6425,11510,17935
NFulton,SWCobb,294,46,2,53,90,1,347,136,3,342,144,486
NFulton,Marietta,932,167,1,242,599,27,1174,766,28,1100,868,1968
NFulton,Cumberland,1881,345,26,362,804,9,2243,1149,35,2252,1175,3427
NFulton,SCobb,461,70,2,87,195,1,548,265,3,533,283,816
NFulton,Chamblee,4493,825,160,1524,3567,128,6017,4392,288,5478,5219,10697
NFulton,NWDeKalb,1068,202,50,230,719,17,1298,921,67,1320,966,2286
NFulton,NEDeKalb,1345,259,28,348,896,19,1693,1155,47,1632,1263,2895
NFulton,Atlanta-DeKalb,109,20,24,22,29,2,131,49,26,153,53,206
NFulton,Decatur,130,19,18,26,42,3,156,61,21,167,71,238
NFulton,SWDeKalb,303,67,31,56,157,6,359,224,37,401,219,620
NFulton,SEDeKalb,319,60,17,60,147,5,379,207,22,396,212,608
NFulton,SDeKalb,254,58,13,44,75,0,298,133,13,325,119,444
NFulton,WDouglas,54,10,1,14,66,0,68,76,1,65,80,145
NFulton,EDouglas,127,30,3,25,28,1,152,58,4,160,54,214
NFulton,WFayette,15,4,1,11,4,1,26,8,2,20,16,36
NFulton,EFayette,31,9,0,10,36,0,41,45,0,40,46,86
NFulton,NGwinnett,5068,993,1,2236,6058,10,7304,7051,11,6062,8304,14366
NFulton,CentGwinnett,9045,1755,14,7863,18135,48,16908,19890,62,10814,26046,36860
NFulton,EGwinnett,820,154,2,136,283,3,956,437,5,976,422,1398
NFulton,Norcross,7031,1434,34,4163,10396,61,11194,11830,95,8499,14620,23119
NFulton,Lilburn,849,180,3,328,707,4,1177,887,7,1032,1039,2071
NFulton,Snellville,878,149,1,196,479,11,1074,628,12,1028,686,1714
NFulton,NHenry,81,18,1,21,32,1,102,50,2,100,54,154
NFulton,EHenry,35,11,0,12,19,0,47,30,0,46,31,77
NFulton,SHenry,35,16,0,9,9,0,44,25,0,51,18,69
NFulton,SRockdale,61,10,1,7,10,0,68,20,1,72,17,89
