ZONE,PER,QUANTITY
1,PER01,1
1,PER02,4
1,PER03,9
1,PER04,9
1,PER05,12
1,PER06,17
1,PER07,22
1,PER08,38
1,PER09,77
1,PER10,111
1,PER11,133
1,PER12,150
1,PER13,163
1,PER14,171
1,PER15,177
1,PER16,184
1,PER17,185
1,PER18,206
1,PER19,222
1,PER20,218
1,PER21,205
1,PER22,196
1,PER23,190
1,PER24,177
1,PER25,160
1,PER26,166
1,PER27,153
1,PER28,147
1,PER29,155
1,PER30,178
1,PER31,189
1,PER32,171
1,PER33,154
1,PER34,135
1,PER35,114
1,PER36,85
1,PER37,53
1,PER38,39
1,PER39,28
1,PER40,22
1,PER41,15
1,PER42,11
1,PER43,12
1,PER44,12
1,PER45,8
1,PER46,8
1,PER47,1
1,PER48,1
2,PER01,NULL
2,PER02,2
2,PER03,3
2,PER04,7
2,PER05,10
2,PER06,12
2,PER07,34
2,PER08,73
2,PER09,148
2,PER10,221
2,PER11,267
2,PER12,274
2,PER13,278
2,PER14,295
2,PER15,288
2,PER16,308
2,PER17,301
2,PER18,334
2,PER19,356
2,PER20,350
2,PER21,343
2,PER22,322
2,PER23,329
2,PER24,324
2,PER25,290
2,PER26,283
2,PER27,266
2,PER28,227
2,PER29,211
2,PER30,203
2,PER31,196
2,PER32,181
2,PER33,188
2,PER34,157
2,PER35,134
2,PER36,117
2,PER37,102
2,PER38,74
2,PER39,41
2,PER40,26
2,PER41,18
2,PER42,12
2,PER43,8
2,PER44,6
2,PER45,4
2,PER46,1
2,PER47,1
2,PER48,1
3,PER01,6
3,PER02,16
3,PER03,22
3,PER04,55
3,PER05,91
3,PER06,150
3,PER07,253
3,PER08,457
3,PER09,915
3,PER10,1418
3,PER11,1629
3,PER12,1646
3,PER13,1733
3,PER14,1801
3,PER15,1856
3,PER16,1884
3,PER17,1939
3,PER18,1981
3,PER19,2029
3,PER20,2005
3,PER21,2002
3,PER22,2030
3,PER23,2033
3,PER24,2059
3,PER25,1905
3,PER26,1852
3,PER27,1687
3,PER28,1494
3,PER29,1424
3,PER30,1378
3,PER31,1319
3,PER32,1247
3,PER33,1193
3,PER34,1097
3,PER35,867
3,PER36,706
3,PER37,552
3,PER38,420
3,PER39,320
3,PER40,220
3,PER41,160
3,PER42,107
3,PER43,63
3,PER44,50
3,PER45,39
3,PER46,27
3,PER47,27
3,PER48,14
4,PER01,1
4,PER02,3
4,PER03,3
4,PER04,5
4,PER05,6
4,PER06,10
4,PER07,27
4,PER08,54
4,PER09,122
4,PER10,179
4,PER11,229
4,PER12,242
4,PER13,240
4,PER14,240
4,PER15,239
4,PER16,234
4,PER17,243
4,PER18,266
4,PER19,272
4,PER20,285
4,PER21,286
4,PER22,266
4,PER23,257
4,PER24,248
4,PER25,256
4,PER26,246
4,PER27,240
4,PER28,213
4,PER29,212
4,PER30,218
4,PER31,231
4,PER32,229
4,PER33,207
4,PER34,185
4,PER35,157
4,PER36,134
4,PER37,95
4,PER38,71
4,PER39,57
4,PER40,36
4,PER41,24
4,PER42,17
4,PER43,12
4,PER44,8
4,PER45,8
4,PER46,7
4,PER47,6
4,PER48,4
5,PER01,3
5,PER02,3
5,PER03,4
5,PER04,8
5,PER05,18
5,PER06,32
5,PER07,57
5,PER08,93
5,PER09,142
5,PER10,200
5,PER11,236
5,PER12,255
5,PER13,264
5,PER14,272
5,PER15,301
5,PER16,313
5,PER17,330
5,PER18,373
5,PER19,401
5,PER20,400
5,PER21,371
5,PER22,348
5,PER23,322
5,PER24,291
5,PER25,294
5,PER26,275
5,PER27,271
5,PER28,250
5,PER29,242
5,PER30,253
5,PER31,278
5,PER32,288
5,PER33,292
5,PER34,277
5,PER35,230
5,PER36,182
5,PER37,136
5,PER38,102
5,PER39,83
5,PER40,49
5,PER41,30
5,PER42,25
5,PER43,12
5,PER44,8
5,PER45,3
5,PER46,2
5,PER47,3
5,PER48,2
6,PER01,NULL
6,PER02,NULL
6,PER03,1
6,PER04,4
6,PER05,11
6,PER06,16
6,PER07,22
6,PER08,35
6,PER09,50
6,PER10,72
6,PER11,83
6,PER12,93
6,PER13,93
6,PER14,108
6,PER15,122
6,PER16,131
6,PER17,155
6,PER18,188
6,PER19,205
6,PER20,199
6,PER21,179
6,PER22,156
6,PER23,142
6,PER24,139
6,PER25,126
6,PER26,127
6,PER27,118
6,PER28,114
6,PER29,99
6,PER30,101
6,PER31,91
6,PER32,89
6,PER33,81
6,PER34,72
6,PER35,74
6,PER36,79
6,PER37,57
6,PER38,41
6,PER39,26
6,PER40,18
6,PER41,12
6,PER42,10
6,PER43,9
6,PER44,5
6,PER45,6
6,PER46,4
6,PER47,1
6,PER48,1
7,PER01,2
7,PER02,3
7,PER03,6
7,PER04,13
7,PER05,37
7,PER06,64
7,PER07,105
7,PER08,181
7,PER09,315
7,PER10,447
7,PER11,552
7,PER12,589
7,PER13,666
7,PER14,694
7,PER15,729
7,PER16,767
7,PER17,790
7,PER18,846
7,PER19,890
7,PER20,872
7,PER21,863
7,PER22,837
7,PER23,827
7,PER24,812
7,PER25,797
7,PER26,758
7,PER27,725
7,PER28,671
7,PER29,648
7,PER30,615
7,PER31,578
7,PER32,563
7,PER33,541
7,PER34,473
7,PER35,409
7,PER36,318
7,PER37,262
7,PER38,200
7,PER39,136
7,PER40,79
7,PER41,49
7,PER42,34
7,PER43,28
7,PER44,17
7,PER45,12
7,PER46,11
7,PER47,5
7,PER48,1
8,PER01,2
8,PER02,2
8,PER03,2
8,PER04,5
8,PER05,5
8,PER06,10
8,PER07,15
8,PER08,23
8,PER09,54
8,PER10,84
8,PER11,90
8,PER12,89
8,PER13,90
8,PER14,96
8,PER15,111
8,PER16,116
8,PER17,118
8,PER18,142
8,PER19,162
8,PER20,171
8,PER21,161
8,PER22,145
8,PER23,132
8,PER24,129
8,PER25,127
8,PER26,119
8,PER27,109
8,PER28,96
8,PER29,103
8,PER30,91
8,PER31,88
8,PER32,89
8,PER33,86
8,PER34,76
8,PER35,69
8,PER36,58
8,PER37,38
8,PER38,35
8,PER39,32
8,PER40,14
8,PER41,11
8,PER42,4
8,PER43,3
8,PER44,7
8,PER45,6
8,PER46,2
8,PER47,2
8,PER48,2
9,PER01,NULL
9,PER02,NULL
9,PER03,1
9,PER04,3
9,PER05,3
9,PER06,6
9,PER07,10
9,PER08,20
9,PER09,34
9,PER10,42
9,PER11,52
9,PER12,60
9,PER13,64
9,PER14,67
9,PER15,76
9,PER16,80
9,PER17,95
9,PER18,110
9,PER19,107
9,PER20,119
9,PER21,101
9,PER22,97
9,PER23,93
9,PER24,88
9,PER25,83
9,PER26,75
9,PER27,65
9,PER28,76
9,PER29,72
9,PER30,56
9,PER31,52
9,PER32,58
9,PER33,54
9,PER34,53
9,PER35,37
9,PER36,35
9,PER37,28
9,PER38,17
9,PER39,10
9,PER40,8
9,PER41,4
9,PER42,3
9,PER43,3
9,PER44,3
9,PER45,1
9,PER46,NULL
9,PER47,NULL
9,PER48,NULL
10,PER01,2
10,PER02,3
10,PER03,3
10,PER04,13
10,PER05,16
10,PER06,35
10,PER07,86
10,PER08,217
10,PER09,518
10,PER10,850
10,PER11,941
10,PER12,935
10,PER13,920
10,PER14,898
10,PER15,904
10,PER16,916
10,PER17,925
10,PER18,940
10,PER19,961
10,PER20,958
10,PER21,955
10,PER22,933
10,PER23,957
10,PER24,978
10,PER25,866
10,PER26,802
10,PER27,666
10,PER28,510
10,PER29,413
10,PER30,346
10,PER31,285
10,PER32,243
10,PER33,219
10,PER34,189
10,PER35,142
10,PER36,125
10,PER37,91
10,PER38,72
10,PER39,54
10,PER40,41
10,PER41,35
10,PER42,27
10,PER43,24
10,PER44,22
10,PER45,17
10,PER46,13
10,PER47,11
10,PER48,4
11,PER01,NULL
11,PER02,1
11,PER03,1
11,PER04,2
11,PER05,3
11,PER06,8
11,PER07,10
11,PER08,20
11,PER09,31
11,PER10,39
11,PER11,48
11,PER12,49
11,PER13,56
11,PER14,58
11,PER15,60
11,PER16,63
11,PER17,61
11,PER18,77
11,PER19,88
11,PER20,88
11,PER21,87
11,PER22,70
11,PER23,67
11,PER24,60
11,PER25,66
11,PER26,66
11,PER27,57
11,PER28,52
11,PER29,58
11,PER30,55
11,PER31,61
11,PER32,64
11,PER33,73
11,PER34,57
11,PER35,39
11,PER36,33
11,PER37,26
11,PER38,18
11,PER39,16
11,PER40,9
11,PER41,4
11,PER42,4
11,PER43,1
11,PER44,2
11,PER45,NULL
11,PER46,NULL
11,PER47,NULL
11,PER48,NULL
12,PER01,NULL
12,PER02,NULL
12,PER03,NULL
12,PER04,NULL
12,PER05,NULL
12,PER06,2
12,PER07,4
12,PER08,8
12,PER09,11
12,PER10,14
12,PER11,19
12,PER12,18
12,PER13,25
12,PER14,33
12,PER15,31
12,PER16,32
12,PER17,42
12,PER18,56
12,PER19,57
12,PER20,62
12,PER21,53
12,PER22,49
12,PER23,46
12,PER24,42
12,PER25,36
12,PER26,29
12,PER27,29
12,PER28,23
12,PER29,23
12,PER30,26
12,PER31,21
12,PER32,21
12,PER33,29
12,PER34,26
12,PER35,25
12,PER36,17
12,PER37,11
12,PER38,4
12,PER39,4
12,PER40,2
12,PER41,1
12,PER42,NULL
12,PER43,NULL
12,PER44,NULL
12,PER45,NULL
12,PER46,NULL
12,PER47,NULL
12,PER48,NULL
13,PER01,2
13,PER02,3
13,PER03,4
13,PER04,6
13,PER05,8
13,PER06,14
13,PER07,37
13,PER08,90
13,PER09,201
13,PER10,329
13,PER11,361
13,PER12,345
13,PER13,352
13,PER14,368
13,PER15,370
13,PER16,375
13,PER17,379
13,PER18,396
13,PER19,429
13,PER20,433
13,PER21,403
13,PER22,394
13,PER23,393
13,PER24,392
13,PER25,354
13,PER26,321
13,PER27,290
13,PER28,264
13,PER29,265
13,PER30,234
13,PER31,234
13,PER32,199
13,PER33,200
13,PER34,160
13,PER35,121
13,PER36,107
13,PER37,76
13,PER38,48
13,PER39,43
13,PER40,38
13,PER41,34
13,PER42,23
13,PER43,6
13,PER44,5
13,PER45,2
13,PER46,1
13,PER47,1
13,PER48,2
14,PER01,2
14,PER02,6
14,PER03,13
14,PER04,27
14,PER05,33
14,PER06,71
14,PER07,118
14,PER08,183
14,PER09,298
14,PER10,409
14,PER11,491
14,PER12,548
14,PER13,606
14,PER14,662
14,PER15,708
14,PER16,754
14,PER17,801
14,PER18,861
14,PER19,912
14,PER20,903
14,PER21,859
14,PER22,825
14,PER23,800
14,PER24,790
14,PER25,775
14,PER26,737
14,PER27,729
14,PER28,677
14,PER29,634
14,PER30,611
14,PER31,561
14,PER32,514
14,PER33,465
14,PER34,395
14,PER35,344
14,PER36,315
14,PER37,216
14,PER38,137
14,PER39,108
14,PER40,82
14,PER41,39
14,PER42,25
14,PER43,22
14,PER44,16
14,PER45,11
14,PER46,4
14,PER47,2
14,PER48,2
15,PER01,NULL
15,PER02,NULL
15,PER03,1
15,PER04,3
15,PER05,4
15,PER06,8
15,PER07,10
15,PER08,34
15,PER09,71
15,PER10,90
15,PER11,108
15,PER12,103
15,PER13,109
15,PER14,116
15,PER15,125
15,PER16,129
15,PER17,135
15,PER18,147
15,PER19,151
15,PER20,150
15,PER21,142
15,PER22,141
15,PER23,132
15,PER24,127
15,PER25,119
15,PER26,104
15,PER27,86
15,PER28,71
15,PER29,61
15,PER30,53
15,PER31,54
15,PER32,36
15,PER33,30
15,PER34,35
15,PER35,31
15,PER36,21
15,PER37,21
15,PER38,11
15,PER39,6
15,PER40,7
15,PER41,5
15,PER42,3
15,PER43,2
15,PER44,1
15,PER45,1
15,PER46,NULL
15,PER47,1
15,PER48,1
16,PER01,6
16,PER02,9
16,PER03,15
16,PER04,16
16,PER05,23
16,PER06,32
16,PER07,50
16,PER08,76
16,PER09,123
16,PER10,151
16,PER11,185
16,PER12,197
16,PER13,213
16,PER14,219
16,PER15,219
16,PER16,225
16,PER17,233
16,PER18,236
16,PER19,243
16,PER20,250
16,PER21,249
16,PER22,242
16,PER23,240
16,PER24,229
16,PER25,228
16,PER26,224
16,PER27,213
16,PER28,184
16,PER29,164
16,PER30,160
16,PER31,147
16,PER32,123
16,PER33,102
16,PER34,88
16,PER35,73
16,PER36,60
16,PER37,40
16,PER38,28
16,PER39,25
16,PER40,15
16,PER41,13
16,PER42,8
16,PER43,4
16,PER44,2
16,PER45,1
16,PER46,NULL
16,PER47,NULL
16,PER48,NULL
17,PER01,2
17,PER02,1
17,PER03,1
17,PER04,3
17,PER05,7
17,PER06,10
17,PER07,14
17,PER08,37
17,PER09,60
17,PER10,99
17,PER11,124
17,PER12,133
17,PER13,136
17,PER14,141
17,PER15,147
17,PER16,150
17,PER17,152
17,PER18,166
17,PER19,172
17,PER20,174
17,PER21,164
17,PER22,157
17,PER23,152
17,PER24,141
17,PER25,128
17,PER26,127
17,PER27,121
17,PER28,111
17,PER29,124
17,PER30,125
17,PER31,125
17,PER32,136
17,PER33,153
17,PER34,136
17,PER35,121
17,PER36,99
17,PER37,71
17,PER38,61
17,PER39,48
17,PER40,36
17,PER41,25
17,PER42,8
17,PER43,4
17,PER44,2
17,PER45,NULL
17,PER46,NULL
17,PER47,NULL
17,PER48,NULL
18,PER01,1
18,PER02,1
18,PER03,3
18,PER04,3
18,PER05,10
18,PER06,23
18,PER07,54
18,PER08,117
18,PER09,232
18,PER10,378
18,PER11,437
18,PER12,412
18,PER13,407
18,PER14,407
18,PER15,412
18,PER16,427
18,PER17,428
18,PER18,428
18,PER19,431
18,PER20,438
18,PER21,437
18,PER22,423
18,PER23,440
18,PER24,452
18,PER25,409
18,PER26,380
18,PER27,326
18,PER28,274
18,PER29,228
18,PER30,208
18,PER31,179
18,PER32,125
18,PER33,119
18,PER34,95
18,PER35,80
18,PER36,52
18,PER37,35
18,PER38,34
18,PER39,25
18,PER40,19
18,PER41,17
18,PER42,8
18,PER43,7
18,PER44,8
18,PER45,10
18,PER46,7
18,PER47,7
18,PER48,4
19,PER01,NULL
19,PER02,NULL
19,PER03,1
19,PER04,3
19,PER05,8
19,PER06,9
19,PER07,18
19,PER08,34
19,PER09,39
19,PER10,71
19,PER11,73
19,PER12,73
19,PER13,75
19,PER14,78
19,PER15,92
19,PER16,94
19,PER17,94
19,PER18,101
19,PER19,116
19,PER20,114
19,PER21,114
19,PER22,109
19,PER23,97
19,PER24,91
19,PER25,81
19,PER26,81
19,PER27,80
19,PER28,69
19,PER29,66
19,PER30,72
19,PER31,73
19,PER32,62
19,PER33,67
19,PER34,61
19,PER35,51
19,PER36,45
19,PER37,36
19,PER38,36
19,PER39,32
19,PER40,14
19,PER41,8
19,PER42,3
19,PER43,1
19,PER44,1
19,PER45,NULL
19,PER46,NULL
19,PER47,NULL
19,PER48,NULL
20,PER01,2
20,PER02,3
20,PER03,4
20,PER04,6
20,PER05,9
20,PER06,8
20,PER07,21
20,PER08,32
20,PER09,52
20,PER10,66
20,PER11,86
20,PER12,105
20,PER13,117
20,PER14,130
20,PER15,137
20,PER16,136
20,PER17,144
20,PER18,154
20,PER19,156
20,PER20,152
20,PER21,135
20,PER22,138
20,PER23,145
20,PER24,148
20,PER25,129
20,PER26,129
