FROM ,TO ,TOTAL,SHORT,LONG
Iowa,District.7,9.668519,0,9.668519
Iowa,District.8,12.783422,0,12.783422
Iowa,Colorado,2820.234863,0,2820.234863
Iowa,Iowa,4501.052734,0,4501.052734
Iowa,Kansas,7169.336426,0,7169.336426
Iowa,S.Dakota,6789.407715,0,6789.407715
Iowa,Wyoming,1180.515869,0,1180.515869
Kansas,District.1,154.973907,69.628975,85.34494
Kansas,District.2,77.611465,0,77.611465
Kansas,District.3,15.181936,0,15.181936
Kansas,District.4,93.373428,28.164248,65.209183
Kansas,District.5,9.080857,0,9.080857
Kansas,District.6,20.868589,0,20.868589
Kansas,District.7,57.667557,30.962006,26.705551
Kansas,District.8,3.845826,0,3.845826
Kansas,Colorado,4415.913574,9.898809,4406.015137
Kansas,Iowa,7160.995605,0,7160.995605
Kansas,Kansas,,,0
Kansas,S.Dakota,79.774467,0,79.774467
Kansas,Wyoming,950.37561,0,950.37561
S.Dakota,District.1,15.75748,0,15.75748
S.Dakota,District.2,38.575245,0,38.575245
S.Dakota,District.3,100.322578,40.600822,59.72176
S.Dakota,District.4,11.491975,0,11.491975
S.Dakota,District.5,44.334808,14.118213,30.216595
S.Dakota,District.6,7.3396,0,7.3396
S.Dakota,District.7,1.667564,0,1.667564
S.Dakota,District.8,34.016926,19.37915,14.637776
S.Dakota,Colorado,98.658226,0,98.658226
S.Dakota,Iowa,6795.026367,0,6795.026367
S.Dakota,Kansas,82.499916,0,82.499916
S.Dakota,S.Dakota,,,0
S.Dakota,Wyoming,451.555176,0,451.555176
Wyoming,District.1,18.256069,0,18.256069
Wyoming,District.2,22.18948,0,22.18948
Wyoming,District.3,3.377257,0,3.377257
Wyoming,District.4,30.826294,0,30.826294
Wyoming,District.5,134.835663,61.519054,73.316612
Wyoming,District.6,39.957615,0,39.957615
Wyoming,District.7,3.143106,0,3.143106
Wyoming,District.8,1.982497,0,1.982497
Wyoming,Colorado,18023.66211,0,18023.66211
Wyoming,Iowa,1174.171143,0,1174.171143
Wyoming,Kansas,954.527039,0,954.527039
Wyoming,S.Dakota,455.583344,0,455.583344
Wyoming,Wyoming,,,0
