FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,78645,15057,690,119410,203382,1226,198055,218439,1916,94392,324018,418410
NFulton,Roswell,17897,3390,184,21258,46567,361,39155,49957,545,21471,68186,89657
NFulton,SandySprings,7224,1290,288,2659,5991,139,9883,7281,427,8802,8789,17591
NFulton,Buckhead,2651,419,327,354,909,69,3005,1328,396,3397,1332,4729
NFulton,NWAtlanta,403,78,41,52,118,8,455,196,49,522,178,700
NFulton,NEAtlanta,1505,259,293,204,661,83,1709,920,376,2057,948,3005
NFulton,SWAtlanta,286,56,53,65,113,18,351,169,71,395,196,591
NFulton,CBDAtlanta,799,158,571,112,425,72,911,583,643,1528,609,2137
NFulton,SEAtlanta,279,65,58,45,126,6,324,191,64,402,177,579
NFulton,SFulton,96,12,5,24,83,1,120,95,6,113,108,221
NFulton,Tri-Cities,236,68,23,30,64,3,266,132,26,327,97,424
NFulton,Shannon,69,17,7,25,27,2,94,44,9,93,54,147
NFulton,WCherokee,423,73,0,116,295,0,539,368,0,496,411,907
NFulton,NCherokee,353,65,0,106,297,0,459,362,0,418,403,821
NFulton,ECentCherokee,5817,1014,2,3294,9373,9,9111,10387,11,6833,12676,19509
NFulton,Woodstock,3324,643,4,2113,5077,2,5437,5720,6,3971,7192,11163
NFulton,Airport,68,21,25,7,28,0,75,49,25,114,35,149
NFulton,NEClayton,135,30,7,26,106,0,161,136,7,172,132,304
NFulton,Riverdale,85,37,6,13,25,0,98,62,6,128,38,166
NFulton,SClayton,74,17,3,23,34,0,97,51,3,94,57,151
NFulton,NWCobb,1539,250,4,500,952,32,2039,1202,36,1793,1484,3277
NFulton,NECobb,5201,987,18,3304,8359,5,8505,9346,23,6206,11668,17874
NFulton,SWCobb,254,48,0,56,129,0,310,177,0,302,185,487
NFulton,Marietta,930,182,7,280,807,16,1210,989,23,1119,1103,2222
NFulton,Cumberland,1844,361,22,368,788,7,2212,1149,29,2227,1163,3390
NFulton,SCobb,386,51,8,116,204,1,502,255,9,445,321,766
NFulton,Chamblee,4586,828,205,1438,3613,57,6024,4441,262,5619,5108,10727
NFulton,NWDeKalb,1025,184,46,207,924,46,1232,1108,92,1255,1177,2432
NFulton,NEDeKalb,1480,261,27,366,856,21,1846,1117,48,1768,1243,3011
NFulton,Atlanta-DeKalb,96,16,18,19,31,1,115,47,19,130,51,181
NFulton,Decatur,139,29,25,30,43,1,169,72,26,193,74,267
NFulton,SWDeKalb,314,54,25,54,98,11,368,152,36,393,163,556
NFulton,SEDeKalb,322,66,18,54,102,4,376,168,22,406,160,566
NFulton,SDeKalb,255,45,14,66,185,0,321,230,14,314,251,565
NFulton,WDouglas,50,8,1,15,105,0,65,113,1,59,120,179
NFulton,EDouglas,112,21,2,24,50,2,136,71,4,135,76,211
NFulton,WFayette,20,2,0,10,6,0,30,8,0,22,16,38
NFulton,EFayette,36,7,0,12,11,0,48,18,0,43,23,66
NFulton,NGwinnett,5383,994,2,2435,6271,10,7818,7265,12,6379,8716,15095
NFulton,CentGwinnett,9551,1798,19,8302,19294,41,17853,21092,60,11368,27637,39005
NFulton,EGwinnett,840,150,0,166,284,0,1006,434,0,990,450,1440
NFulton,Norcross,7281,1472,26,4418,10764,37,11699,12236,63,8779,15219,23998
NFulton,Lilburn,902,154,2,373,812,2,1275,966,4,1058,1187,2245
NFulton,Snellville,916,154,1,215,440,6,1131,594,7,1071,661,1732
NFulton,NHenry,88,17,2,17,34,0,105,51,2,107,51,158
NFulton,EHenry,43,14,0,15,7,0,58,21,0,57,22,79
NFulton,SHenry,44,15,1,16,25,0,60,40,1,60,41,101
NFulton,SRockdale,72,7,3,14,42,1,86,49,4,82,57,139
NFulton,NRockdale,108,22,2,27,43,0,135,65,2,132,70,202
NFulton,NBarrow,369,40,0,61,104,0,430,144,0,409,165,574
NFulton,SBarrow,231,36,0,28,62,0,259,98,0,267,90,357
NFulton,NWBartow,38,10,0,18,51,0,56,61,0,48,69,117
NFulton,NEBartow,89,16,0,29,95,0,118,111,0,105,124,229
NFulton,SWBartow,58,16,0,20,53,1,78,69,1,74,74,148
NFulton,Cartersville,247,44,0,80,51,1,327,95,1,291,132,423
NFulton,NECarroll,12,1,0,4,5,0,16,6,0,13,9,22
NFulton,WCarroll,0,0,0,0,0,0,0,0,0,0,0,0
NFulton,CentralCarroll,5,0,0,6,17,0,11,17,0,5,23,28
NFulton,SECarroll,2,0,0,0,1,0,2,1,0,2,1,3
NFulton,WCoweta,1,0,0,3,0,0,4,0,0,1,3,4
NFulton,NCoweta,14,2,2,4,2,0,18,4,2,18,6,24
NFulton,SCoweta,0,0,0,0,0,0,0,0,0,0,0,0
NFulton,SECoweta,1,1,0,0,1,0,1,2,0,2,1,3
NFulton,NForsyth,2862,481,0,573,1437,1,3435,1918,1,3343,2011,5354
NFulton,Cumming,10897,1837,14,4490,11758,18,15387,13595,32,12748,16266,29014
NFulton,SForsyth,14632,2748,51,15585,33419,79,30217,36167,130,17431,49083,66514
NFulton,NHall,290,50,0,54,179,0,344,229,0,340,233,573
NFulton,Gainesville,695,119,0,121,313,0,816,432,0,814,434,1248
NFulton,SHall,874,130,0,151,348,1,1025,478,1,1004,500,1504
NFulton,WNewton,91,16,1,15,32,0,106,48,1,108,47,155
NFulton,ENewton,10,0,0,4,1,0,14,1,0,10,5,15
NFulton,NPaulding,120,21,0,21,43,0,141,64,0,141,64,205
NFulton,WPaulding,20,4,0,8,11,0,28,15,0,24,19,43
NFulton,EPaulding,240,34,0,47,115,0,287,149,0,274,162,436
NFulton,NSpalding,2,1,0,3,25,0,5,26,0,3,28,31
NFulton,SSpalding,3,0,0,1,0,0,4,0,0,3,1,4
NFulton,WWalton,207,27,1,37,49,0,244,76,1,235,86,321
NFulton,EWalton,97,12,0,20,47,0,117,59,0,109,67,176
Roswell,NFulton,18071,3396,171,21166,46828,358,39237,50224,529,21638,68352,89990
Roswell,Roswell,27785,4997,235,55351,110140,380,83136,115137,615,33017,165871,198888
Roswell,SandySprings,7189,1287,229,6182,13419,246,13371,14706,475,8705,19847,28552
Roswell,Buckhead,2331,370,268,465,1373,104,2796,1743,372,2969,1942,4911
Roswell,NWAtlanta,341,69,23,55,86,4,396,155,27,433,145,578
Roswell,NEAtlanta,1226,233,287,208,610,121,1434,843,408,1746,939,2685
