STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Brookhaven/Ogle,RAIL,33.85995051,-84.33936845,EA,46,25
Chamblee,RAIL,33.88746349,-84.30635678,EA,51,67
Buckhead,RAIL,33.84806247,-84.36785871,EA,21,167
Medical Center,RAIL,33.91076675,-84.35150425,EA,29,190
Dunwoody,RAIL,33.92129246,-84.34435935,EA,85,150
Garnett,RAIL,33.74883024,-84.39563408,EA,73,158
West End,RAIL,33.73581105,-84.41366372,EA,688,38
Oakland City,RAIL,33.71704952,-84.42512464,EA,228,38
Lakewood/Fort M,RAIL,33.70031817,-84.42886315,EA,159,15
East Point,RAIL,33.67685698,-84.44074954,EA,359,83
College Park,RAIL,33.65153306,-84.44877472,EA,663,82
Auburn/Piedmont,RAIL,33.7555401,-84.38222988,EA,0,0
Peachtree Cente,RAIL,33.75788041,-84.38759022,EA,0,0
Carnegie/Spring,RAIL,33.75925987,-84.38944947,EA,0,0
Woodruff Park S,RAIL,33.75630023,-84.38845983,EA,0,0
Luckie/Cone Str,RAIL,33.75788993,-84.39008967,EA,0,0
Centennial Olym,RAIL,33.75923989,-84.3920903,EA,0,0
Sweet Auburn Ma,RAIL,33.75440038,-84.3802706,EA,0,0
King Memorial,RAIL,33.75000421,-84.37543041,EA,54,26
Airport,RAIL,33.64068199,-84.44620591,EA,40,727
North Avenue,RAIL,33.77256732,-84.38699937,EA,145,336
Doraville,RAIL,33.90298663,-84.28025261,EA,102,17
Five Points (Gold),RAIL,33.75386763,-84.39159681,EA,668,1123
Five Points (Blue),RAIL,33.75387048,-84.3915608,EA,146,800
Hurt Park Stree,RAIL,33.75447459,-84.3852735,EA,0,0
Park Place Stre,RAIL,33.75506728,-84.38820241,EA,0,0
Dobbs Plaza Str,RAIL,33.75552012,-84.37887016,EA,0,0
King Historical,RAIL,33.75548968,-84.37435941,AM,5,1
Edgewood/Hillia,RAIL,33.75438041,-84.37658011,AM,7,6
Sandy Springs,RAIL,33.93218729,-84.35208977,AM,1196,1321
North Springs,RAIL,33.94511896,-84.35726606,AM,4452,1248
Georgia State,RAIL,33.75008031,-84.38582967,AM,812,4441
Inman Park/Reyn,RAIL,33.75769205,-84.35251524,AM,888,397
Edgewood/Candle,RAIL,33.76193601,-84.33963921,AM,707,288
East Lake,RAIL,33.76519723,-84.31276946,AM,948,155
Decatur,RAIL,33.77468883,-84.29574279,AM,875,1847
Avondale,RAIL,33.77514262,-84.28227057,AM,1577,883
Kensington,RAIL,33.77265675,-84.25189439,AM,3628,920
Indian Creek,RAIL,33.76982934,-84.22965543,AM,5189,329
Dome/GWCC/Phili,RAIL,33.75610139,-84.39712121,AM,142,1291
Vine City,RAIL,33.75655043,-84.40401403,AM,361,439
Ashby,RAIL,33.75644578,-84.41724351,AM,774,705
West Lake,RAIL,33.75329302,-84.44534298,AM,553,182
Hamilton E Holm,RAIL,33.75447364,-84.47012807,AM,4013,841
Bankhead,RAIL,33.77218678,-84.42893117,AM,720,333
Peachtree Cente,RAIL,33.75967751,-84.38756755,AM,865,5691
Civic Center,RAIL,33.76648821,-84.38749686,AM,1326,2039
Midtown,RAIL,33.78111994,-84.38633916,AM,1987,4575
Arts Center,RAIL,33.78918261,-84.38732614,AM,1743,4633
Lindbergh Cente,RAIL,33.8224931,-84.36959926,AM,6151,3546
Lenox,RAIL,33.84538918,-84.35809298,AM,619,1541
Brookhaven/Ogle,RAIL,33.85995051,-84.33936845,AM,1291,412
Chamblee,RAIL,33.88746349,-84.30635678,AM,1353,982
Buckhead,RAIL,33.84806247,-84.36785871,AM,640,2489
Medical Center,RAIL,33.91076675,-84.35150425,AM,527,1823
Dunwoody,RAIL,33.92129246,-84.34435935,AM,1800,2131
Garnett,RAIL,33.74883024,-84.39563408,AM,342,1657
West End,RAIL,33.73581105,-84.41366372,AM,3190,1180
Oakland City,RAIL,33.71704952,-84.42512464,AM,2200,490
Lakewood/Fort M,RAIL,33.70031817,-84.42886315,AM,1208,280
East Point,RAIL,33.67685698,-84.44074954,AM,3460,1177
College Park,RAIL,33.65153306,-84.44877472,AM,6510,947
Auburn/Piedmont,RAIL,33.7555401,-84.38222988,AM,2,9
Peachtree Cente,RAIL,33.75788041,-84.38759022,AM,3,8
Carnegie/Spring,RAIL,33.75925987,-84.38944947,AM,43.02,63.01
Woodruff Park S,RAIL,33.75630023,-84.38845983,AM,0,5
Luckie/Cone Str,RAIL,33.75788993,-84.39008967,AM,1,3
Centennial Olym,RAIL,33.75923989,-84.3920903,AM,5,3
Sweet Auburn Ma,RAIL,33.75440038,-84.3802706,AM,3,3
King Memorial,RAIL,33.75000421,-84.37543041,AM,643,422
Airport,RAIL,33.64068199,-84.44620591,AM,320,3746
North Avenue,RAIL,33.77256732,-84.38699937,AM,1281,3781
Doraville,RAIL,33.90298663,-84.28025261,AM,4428,650
Five Points (Gold),RAIL,33.75386763,-84.39159681,AM,12889,13439
Five Points (Blue),RAIL,33.75387048,-84.3915608,AM,6570,14927
Hurt Park Stree,RAIL,33.75447459,-84.3852735,AM,0,6
Park Place Stre,RAIL,33.75506728,-84.38820241,AM,6,2
Dobbs Plaza Str,RAIL,33.75552012,-84.37887016,AM,3,2
King Historical,RAIL,33.75548968,-84.37435941,MD,1,0
Edgewood/Hillia,RAIL,33.75438041,-84.37658011,MD,4,8
Sandy Springs,RAIL,33.93218729,-84.35208977,MD,603,604
North Springs,RAIL,33.94511896,-84.35726606,MD,990,1036
Georgia State,RAIL,33.75008031,-84.38582967,MD,1463,1394
Inman Park/Reyn,RAIL,33.75769205,-84.35251524,MD,652,646
Edgewood/Candle,RAIL,33.76193601,-84.33963921,MD,321,332
East Lake,RAIL,33.76519723,-84.31276946,MD,351,278
Decatur,RAIL,33.77468883,-84.29574279,MD,890,820
Avondale,RAIL,33.77514262,-84.28227057,MD,771,660
Kensington,RAIL,33.77265675,-84.25189439,MD,1233,1170
Indian Creek,RAIL,33.76982934,-84.22965543,MD,1146,1145
Dome/GWCC/Phili,RAIL,33.75610139,-84.39712121,MD,552,582
Vine City,RAIL,33.75655043,-84.40401403,MD,391,411
Ashby,RAIL,33.75644578,-84.41724351,MD,509,497
West Lake,RAIL,33.75329302,-84.44534298,MD,269,254
Hamilton E Holm,RAIL,33.75447364,-84.47012807,MD,1348,1268
Bankhead,RAIL,33.77218678,-84.42893117,MD,446,365
Peachtree Cente,RAIL,33.75967751,-84.38756755,MD,2320,2454
Civic Center,RAIL,33.76648821,-84.38749686,MD,954,949
Midtown,RAIL,33.78111994,-84.38633916,MD,2238,2198
Arts Center,RAIL,33.78918261,-84.38732614,MD,2160,2296
Lindbergh Cente,RAIL,33.8224931,-84.36959926,MD,3127,3039
Lenox,RAIL,33.84538918,-84.35809298,MD,804,813
Brookhaven/Ogle,RAIL,33.85995051,-84.33936845,MD,467,446
Chamblee,RAIL,33.88746349,-84.30635678,MD,632,639
Buckhead,RAIL,33.84806247,-84.36785871,MD,793,896
Medical Center,RAIL,33.91076675,-84.35150425,MD,583,602
Dunwoody,RAIL,33.92129246,-84.34435935,MD,971,1006
Garnett,RAIL,33.74883024,-84.39563408,MD,762,718
West End,RAIL,33.73581105,-84.41366372,MD,1601,1535
Oakland City,RAIL,33.71704952,-84.42512464,MD,1013,931
Lakewood/Fort M,RAIL,33.70031817,-84.42886315,MD,445,439
East Point,RAIL,33.67685698,-84.44074954,MD,1254,1263
College Park,RAIL,33.65153306,-84.44877472,MD,1754,1672
Auburn/Piedmont,RAIL,33.7555401,-84.38222988,MD,10,5
Peachtree Cente,RAIL,33.75788041,-84.38759022,MD,11,15
Carnegie/Spring,RAIL,33.75925987,-84.38944947,MD,14,12
Woodruff Park S,RAIL,33.75630023,-84.38845983,MD,1,3
Luckie/Cone Str,RAIL,33.75788993,-84.39008967,MD,0,8
Centennial Olym,RAIL,33.75923989,-84.3920903,MD,15,21
Sweet Auburn Ma,RAIL,33.75440038,-84.3802706,MD,6,8
King Memorial,RAIL,33.75000421,-84.37543041,MD,361,407
Airport,RAIL,33.64068199,-84.44620591,MD,1027,988
North Avenue,RAIL,33.77256732,-84.38699937,MD,1671,1688
Doraville,RAIL,33.90298663,-84.28025261,MD,1019,1139
Five Points (Gold),RAIL,33.75386763,-84.39159681,MD,7729,7566
Five Points (Blue),RAIL,33.75387048,-84.3915608,MD,5850,6324
Hurt Park Stree,RAIL,33.75447459,-84.3852735,MD,17,16
Park Place Stre,RAIL,33.75506728,-84.38820241,MD,17,12
Dobbs Plaza Str,RAIL,33.75552012,-84.37887016,MD,7,2
King Historical,RAIL,33.75548968,-84.37435941,PM,2,1
Edgewood/Hillia,RAIL,33.75438041,-84.37658011,PM,1,3
Sandy Springs,RAIL,33.93218729,-84.35208977,PM,1391,1281
North Springs,RAIL,33.94511896,-84.35726606,PM,1385,4407
Georgia State,RAIL,33.75008031,-84.38582967,PM,4362,942
Inman Park/Reyn,RAIL,33.75769205,-84.35251524,PM,617,1038
Edgewood/Candle,RAIL,33.76193601,-84.33963921,PM,390,731
East Lake,RAIL,33.76519723,-84.31276946,PM,234,959
Decatur,RAIL,33.77468883,-84.29574279,PM,1885,988
Avondale,RAIL,33.77514262,-84.28227057,PM,1177,1651
Kensington,RAIL,33.77265675,-84.25189439,PM,1217,3662
Indian Creek,RAIL,33.76982934,-84.22965543,PM,578,5020
