FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
SCobb,ENewton,6,3,0,0,2,0,6,5,0,9,2,11
SCobb,NPaulding,505,95,0,192,502,0,697,597,0,600,694,1294
SCobb,WPaulding,334,56,0,111,228,0,445,284,0,390,339,729
SCobb,EPaulding,3195,587,0,1564,4841,2,4759,5428,2,3782,6407,10189
SCobb,NSpalding,27,7,0,7,14,0,34,21,0,34,21,55
SCobb,SSpalding,11,1,0,6,27,0,17,28,0,12,33,45
SCobb,WWalton,33,7,0,3,17,0,36,24,0,40,20,60
SCobb,EWalton,11,2,0,3,6,0,14,8,0,13,9,22
Chamblee,NFulton,5596,935,311,1759,4390,92,7355,5325,403,6842,6241,13083
Chamblee,Roswell,5094,761,438,2722,6436,196,7816,7197,634,6293,9354,15647
Chamblee,SandySprings,20687,3324,798,30446,41377,765,51133,44701,1563,24809,72588,97397
Chamblee,Buckhead,12008,1922,1336,13481,21144,1252,25489,23066,2588,15266,35877,51143
Chamblee,NWAtlanta,2039,403,521,680,1334,312,2719,1737,833,2963,2326,5289
