STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Glenwood Streetcar,RAIL,33.73976009,-84.35827037,DAILY,522.55,580.08
Howell/Bradley Streetcar,RAIL,33.75286015,-84.37429006,DAILY,232,302
King Historical District,RAIL,33.75548968,-84.37435941,DAILY,165,68
Oakland Streetcar,RAIL,33.74682005,-84.37666013,DAILY,65,105
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,DAILY,9,68
Sandy Springs,RAIL,33.93218729,-84.35208977,DAILY,3904.3,4581.08
North Springs,RAIL,33.94511896,-84.35726606,DAILY,3543.01,3758.54
Georgia State,RAIL,33.75008031,-84.38582967,DAILY,9145.72,9074.4
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,DAILY,2430.16,2771.64
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,DAILY,2531.98,2358.88
East Lake,RAIL,33.76519723,-84.31276946,DAILY,2344.18,2378.59
Decatur,RAIL,33.77468883,-84.29574279,DAILY,5325.31,5562.61
Avondale,RAIL,33.77514262,-84.28227057,DAILY,5839.86,5930.52
Kensington,RAIL,33.77265675,-84.25189439,DAILY,9213.92,9795.71
Indian Creek,RAIL,33.76527334,-84.23006089,DAILY,4424.09,4434.37
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,DAILY,5118.75,5248.58
Vine City,RAIL,33.75655043,-84.40401403,DAILY,2450.7,2330.2
Ashby,RAIL,33.75644578,-84.41724351,DAILY,3322.74,3361.1
West Lake,RAIL,33.75329302,-84.44534298,DAILY,2103.3,2103.38
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,DAILY,9119.63,9467.15
Bankhead,RAIL,33.77218678,-84.42893117,DAILY,3245.82,2932.24
Peachtree Center,RAIL,33.75967751,-84.38756755,DAILY,14574.08,14620.72
Civic Center,RAIL,33.76648821,-84.38749686,DAILY,8390.19,7851.2
Midtown,RAIL,33.78111994,-84.38633917,DAILY,13795.54,15031.72
Arts Center,RAIL,33.78918261,-84.38732614,DAILY,20445.52,20789.64
Lindbergh Center,RAIL,33.8224931,-84.36959926,DAILY,29736.3,29062.68
Lenox,RAIL,33.84538918,-84.35809299,DAILY,5580.71,5484.72
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,DAILY,4428.93,4303.55
Chamblee,RAIL,33.88746349,-84.30635678,DAILY,4587.58,4658.33
Buckhead,RAIL,33.84806247,-84.36785871,DAILY,7721.26,9084.04
Medical Center,RAIL,33.91076675,-84.35150426,DAILY,5703,6499.68
Dunwoody,RAIL,33.92129246,-84.34435935,DAILY,7654.43,7887.89
Garnett,RAIL,33.74883024,-84.39563408,DAILY,4412.74,4438.78
West End,RAIL,33.73581105,-84.41366372,DAILY,8015.68,7481.4
Oakland City,RAIL,33.71704952,-84.42512465,DAILY,6166.47,6050.54
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,DAILY,4222.08,4350.34
East Point,RAIL,33.67685698,-84.44074954,DAILY,7767.4,8726.12
College Park,RAIL,33.65153306,-84.44877472,DAILY,15241.02,14790
Brawley Streetcar,RAIL,33.77304965,-84.41240066,DAILY,321.22,369.06
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,DAILY,231,200
Piedmont Streetcar,RAIL,33.77128015,-84.38188044,DAILY,252,152
Five Points Streetcar,RAIL,33.75316363,-84.39125537,DAILY,1535,2073.38
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,DAILY,255,501
Baker Streetcar,RAIL,33.76226042,-84.38755021,DAILY,557,672
Pine Streetcar,RAIL,33.76733966,-84.38536019,DAILY,148,155
Civic Center Streetcar,RAIL,33.76733015,-84.38745952,DAILY,62.77,8
King Memorial Streetcar,RAIL,33.75018021,-84.37664013,DAILY,2015.02,1344.49
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,DAILY,167,86
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,DAILY,1349.38,1196.38
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,DAILY,53,57
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,DAILY,83,80
Luckie/Ivan Allen Streetc,RAIL,33.76463023,-84.39613957,DAILY,488,450
Howell/Bradley Streetcar,RAIL,33.75427005,-84.36980065,DAILY,195,159
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,DAILY,78,159
North Angier Streetcar,RAIL,33.77112032,-84.36498048,DAILY,352.03,188
Hutting Streetcar,RAIL,33.77120023,-84.3747502,DAILY,167,139
Peachtree Streetcar,RAIL,33.77128966,-84.3849694,DAILY,667.77,651.77
Cherry Streetcar,RAIL,33.77130964,-84.39450039,DAILY,1159,856
Carroll/Boulevard Streetc,RAIL,33.74670018,-84.36810012,DAILY,290.01,282.21
Northside Streetcar,RAIL,33.77052953,-84.40483963,DAILY,221,214.04
King Memorial,RAIL,33.75000421,-84.37543042,DAILY,3479.64,4156.34
Baker/Georgia Aquarium St,RAIL,33.76252014,-84.39563008,DAILY,129,102
Airport,RAIL,33.64068199,-84.44620592,DAILY,15582.26,11490.68
North Avenue,RAIL,33.77256732,-84.38699937,DAILY,10055.36,10175.54
Doraville,RAIL,33.90298663,-84.28025261,DAILY,9297.83,9488.86
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,DAILY,60073.51,61072.72
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,DAILY,49268.42,47413.72
Kennesaw Streetcar,RAIL,33.77116598,-84.36978331,DAILY,159.9,131.77
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,DAILY,189,189
Park Place Streetcar,RAIL,33.75506728,-84.38820242,DAILY,132,222
Gaspero/Old Water Tower P,RAIL,33.75655043,-84.3668504,DAILY,118.13,161.41
Merrits/Pine Streetcar,RAIL,33.76963527,-84.39608889,DAILY,615,423
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,DAILY,20,13
Bankhead Streetcar,RAIL,33.7719147,-84.42913123,DAILY,968.49,1071.23
Montgomery Ferry Streetca,RAIL,33.80048272,-84.37386726,DAILY,219.12,325.34
Ansley Mall/Piedmont  Str,RAIL,33.79543391,-84.37093968,DAILY,147,202.36
Piedmont Park/Amsterdam W,RAIL,33.78901327,-84.37045953,DAILY,286.03,318.52
Monroe/Virginia Streetcar,RAIL,33.78064426,-84.3673839,DAILY,149,170.31
Ponce City Market Streetc,RAIL,33.77274237,-84.36445231,DAILY,234.88,446.13
Angier Springs Streetcar,RAIL,33.76911583,-84.36254371,DAILY,222.46,281.53
Freedom Parkway Streetcar,RAIL,33.76389103,-84.35972816,DAILY,199.12,194.19
Highland Streetcar,RAIL,33.76130812,-84.36178081,DAILY,317.45,331.83
Boone Streetcar,RAIL,33.76365985,-84.42455914,DAILY,246.63,236.43
Lena Streetcar,RAIL,33.75751605,-84.42481255,DAILY,127.38,128.42
Martin Luther King Jr Str,RAIL,33.75336532,-84.42596224,DAILY,46,25
Napoleon Streetcar,RAIL,33.74835362,-84.42886315,DAILY,123,136.29
Sells Streetcar,RAIL,33.74519324,-84.43230423,DAILY,134,128.14
Lucille Streetcar,RAIL,33.74245526,-84.4339154,DAILY,76,86.05
Abernathy Streetcar,RAIL,33.73829787,-84.43219886,DAILY,235,246.06
Lawton Streetcar,RAIL,33.73170123,-84.42280792,DAILY,12,17
Murphy Streetcar,RAIL,33.72736689,-84.41588042,DAILY,42,50
Allene Streetcar,RAIL,33.72465745,-84.4129635,DAILY,12,10
University Streetcar,RAIL,33.72225054,-84.41163642,DAILY,55,58
Irwin Streetcar,RAIL,33.75755981,-84.36492046,DAILY,128.19,117.11
Covington Highway,RAIL,33.75491221,-84.23257367,DAILY,1372.56,1539.9
Wesley Chapel,RAIL,33.71266286,-84.21862531,DAILY,7857.39,7734.83
Wesley Chapel BRT,RAIL,33.71295302,-84.21788908,DAILY,624.91,380
Northridge,RAIL,33.98330796,-84.34179722,DAILY,2653.7,2975.83
Holcomb Bridge,RAIL,34.01974839,-84.32522536,DAILY,10812.23,9710.38
Lindbergh Center LRT,RAIL,33.82172155,-84.36953123,DAILY,9288.04,9037.99
Cheshire Bridge LRT,RAIL,33.81092947,-84.35481596,DAILY,694.6,583.52
Sage Hill/Briarcliff LRT,RAIL,33.80590159,-84.33776128,DAILY,678.12,649.17
CDC/Emory Point LRT,RAIL,33.7994448,-84.32499062,DAILY,1448.55,1483.49
Emory/Rollins LRT,RAIL,33.79673155,-84.32219508,DAILY,6047.11,6092.74
Emory/Clairmont LRT,RAIL,33.79500866,-84.31113028,DAILY,982.69,1011.7
North Decatur LRT,RAIL,33.78937478,-84.30764252,DAILY,1204.92,1485.42
Candler Road BRT,RAIL,33.71138329,-84.2745855,DAILY,1741,1971.29
Gresham Road BRT,RAIL,33.71673748,-84.30979253,DAILY,817.83,796.19
Glenwood Road BRT,RAIL,33.73910176,-84.33023093,DAILY,455.07,83.35
Moreland Avenue BRT,RAIL,33.74684097,-84.35031188,DAILY,447.24,365.42
Bill Kennedy Streetcar,RAIL,33.7454149,-84.35825037,DAILY,149,281
Glenwood Memorial BRT,RAIL,33.74559947,-84.35885989,DAILY,327.24,209.66
Five Points BRT,RAIL,33.75341764,-84.39167017,DAILY,2643.56,3250.94
Finley Streetcar,RAIL,33.77323041,-84.42207036,DAILY,63,101
Kennesaw State University,RAIL,34.03622478,-84.58053999,DAILY,813.88,773.51
Town Center BRT,RAIL,34.02802321,-84.57041015,DAILY,902.21,879.3
Barrett Lakes Boulevard B,RAIL,34.00301513,-84.56915776,DAILY,446.64,431.64
WellStar Kennestone BRT,RAIL,33.97724027,-84.55092805,DAILY,375.62,412.33
Allgood Road BRT,RAIL,33.9669562,-84.53656621,DAILY,352,363.63
North Marietta Parkway BR,RAIL,33.9595119,-84.52858371,DAILY,499.55,527.44
Roswell Road BRT,RAIL,33.95029715,-84.52134011,DAILY,746.3,679.86
South Marietta Parkway BR,RAIL,33.93616393,-84.51378041,DAILY,1429.86,1463.38
Dobbins BRT,RAIL,33.91749944,-84.50219012,DAILY,483.25,493.69
Windy Hill Road BRT,RAIL,33.90179459,-84.48752152,DAILY,998.8,1104.19
Cumberland North BRT,RAIL,33.88882867,-84.47546174,DAILY,1027.93,1017.15
Cumberland South BRT,RAIL,33.88066706,-84.46476239,DAILY,1865.69,2088.99
Arts Center BRT,RAIL,33.78884203,-84.38735148,DAILY,5493.25,5209.26
White Circle BRT,RAIL,33.98720373,-84.57315901,DAILY,728,700.94
Battlefield BRT,RAIL,33.98097431,-84.55918396,DAILY,260.53,278.2
East Point Comuter Rail,RAIL,33.67765041,-84.43923973,DAILY,37,36
Hapeville Commuter Rail,RAIL,33.65902778,-84.40952643,DAILY,140,145
Mountain View Commuter Ra,RAIL,33.64200531,-84.39023372,DAILY,122.16,140.33
Forest Park Commuter Rail,RAIL,33.62008626,-84.3632386,DAILY,211,199
Clayton State Commuter Ra,RAIL,33.59478041,-84.33478169,DAILY,619,610
Southlake Commuter Rail,RAIL,33.5748687,-84.34137575,DAILY,365,353
Jonesboro Commuter Rail,RAIL,33.52257787,-84.35420243,DAILY,414.06,464
Lovejoy Commuter Rail,RAIL,33.43579498,-84.31349235,DAILY,306.27,267.16
Glenwood Streetcar,RAIL,33.73976009,-84.35827037,EA,0,0
Howell/Bradley Streetcar,RAIL,33.75286015,-84.37429006,EA,0,0
King Historical District,RAIL,33.75548968,-84.37435941,EA,0,0
Oakland Streetcar,RAIL,33.74682005,-84.37666013,EA,0,0
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,EA,0,0
Sandy Springs,RAIL,33.93218729,-84.35208977,EA,43,191
North Springs,RAIL,33.94511896,-84.35726606,EA,55,86
Georgia State,RAIL,33.75008031,-84.38582967,EA,35,258
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,EA,105,29
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,EA,137,43
East Lake,RAIL,33.76519723,-84.31276946,EA,40,18
Decatur,RAIL,33.77468883,-84.29574279,EA,57,124
Avondale,RAIL,33.77514262,-84.28227057,EA,120,105
Kensington,RAIL,33.77265675,-84.25189439,EA,343,67
Indian Creek,RAIL,33.76527334,-84.23006089,EA,80,10
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,EA,16,148
Vine City,RAIL,33.75655043,-84.40401403,EA,56,64
Ashby,RAIL,33.75644578,-84.41724351,EA,182,45
West Lake,RAIL,33.75329302,-84.44534298,EA,93,15
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,EA,259,68
Bankhead,RAIL,33.77218678,-84.42893117,EA,92,32
Peachtree Center,RAIL,33.75967751,-84.38756755,EA,102,856
Civic Center,RAIL,33.76648821,-84.38749686,EA,186,300
Midtown,RAIL,33.78111994,-84.38633917,EA,270,563
Arts Center,RAIL,33.78918261,-84.38732614,EA,295,806
Lindbergh Center,RAIL,33.8224931,-84.36959926,EA,1995,453
Lenox,RAIL,33.84538918,-84.35809299,EA,33,265
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,EA,83,63
Chamblee,RAIL,33.88746349,-84.30635678,EA,97,125
Buckhead,RAIL,33.84806247,-84.36785871,EA,67,346
Medical Center,RAIL,33.91076675,-84.35150426,EA,31,399
Dunwoody,RAIL,33.92129246,-84.34435935,EA,148,324
Garnett,RAIL,33.74883024,-84.39563408,EA,101,255
West End,RAIL,33.73581105,-84.41366372,EA,885,57
Oakland City,RAIL,33.71704952,-84.42512465,EA,408,50
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,EA,308,33
East Point,RAIL,33.67685698,-84.44074954,EA,486,137
College Park,RAIL,33.65153306,-84.44877472,EA,1157,136
Brawley Streetcar,RAIL,33.77304965,-84.41240066,EA,0,0
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,EA,0,0
Piedmont Streetcar,RAIL,33.77128015,-84.38188044,EA,0,0
Five Points Streetcar,RAIL,33.75316363,-84.39125537,EA,5,39
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,EA,0,0
Baker Streetcar,RAIL,33.76226042,-84.38755021,EA,0,4
Pine Streetcar,RAIL,33.76733966,-84.38536019,EA,0,0
Civic Center Streetcar,RAIL,33.76733015,-84.38745952,EA,0,0
King Memorial Streetcar,RAIL,33.75018021,-84.37664013,EA,0,0
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,EA,0,0
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,EA,0,0
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,EA,0,0
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,EA,0,0
Luckie/Ivan Allen Streetc,RAIL,33.76463023,-84.39613957,EA,10,0
Howell/Bradley Streetcar,RAIL,33.75427005,-84.36980065,EA,0,0
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,EA,0,0
North Angier Streetcar,RAIL,33.77112032,-84.36498048,EA,0,0
Hutting Streetcar,RAIL,33.77120023,-84.3747502,EA,1,0
Peachtree Streetcar,RAIL,33.77128966,-84.3849694,EA,0,1
Cherry Streetcar,RAIL,33.77130964,-84.39450039,EA,11,9
Carroll/Boulevard Streetc,RAIL,33.74670018,-84.36810012,EA,0,0
Northside Streetcar,RAIL,33.77052953,-84.40483963,EA,0,0
King Memorial,RAIL,33.75000421,-84.37543042,EA,114,52
Baker/Georgia Aquarium St,RAIL,33.76252014,-84.39563008,EA,0,0
Airport,RAIL,33.64068199,-84.44620592,EA,73,1104
North Avenue,RAIL,33.77256732,-84.38699937,EA,252,523
Doraville,RAIL,33.90298663,-84.28025261,EA,231,76
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,EA,1365,1691
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,EA,293,1078
Kennesaw Streetcar,RAIL,33.77116598,-84.36978331,EA,0,0
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,EA,0,0
Park Place Streetcar,RAIL,33.75506728,-84.38820242,EA,0,0
Gaspero/Old Water Tower P,RAIL,33.75655043,-84.3668504,EA,0,0
Merrits/Pine Streetcar,RAIL,33.76963527,-84.39608889,EA,1,0
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,EA,0,0
Bankhead Streetcar,RAIL,33.7719147,-84.42913123,EA,0,0
Montgomery Ferry Streetca,RAIL,33.80048272,-84.37386726,EA,0,0
Ansley Mall/Piedmont  Str,RAIL,33.79543391,-84.37093968,EA,0,0
Piedmont Park/Amsterdam W,RAIL,33.78901327,-84.37045953,EA,0,0
Monroe/Virginia Streetcar,RAIL,33.78064426,-84.3673839,EA,0,0
Ponce City Market Streetc,RAIL,33.77274237,-84.36445231,EA,0,0
Angier Springs Streetcar,RAIL,33.76911583,-84.36254371,EA,0,0
Freedom Parkway Streetcar,RAIL,33.76389103,-84.35972816,EA,0,0
Highland Streetcar,RAIL,33.76130812,-84.36178081,EA,0,0
Boone Streetcar,RAIL,33.76365985,-84.42455914,EA,0,0
Lena Streetcar,RAIL,33.75751605,-84.42481255,EA,0,0
Martin Luther King Jr Str,RAIL,33.75336532,-84.42596224,EA,0,0
Napoleon Streetcar,RAIL,33.74835362,-84.42886315,EA,0,0
Sells Streetcar,RAIL,33.74519324,-84.43230423,EA,0,0
Lucille Streetcar,RAIL,33.74245526,-84.4339154,EA,0,0
Abernathy Streetcar,RAIL,33.73829787,-84.43219886,EA,0,0
Lawton Streetcar,RAIL,33.73170123,-84.42280792,EA,0,0
Murphy Streetcar,RAIL,33.72736689,-84.41588042,EA,0,0
Allene Streetcar,RAIL,33.72465745,-84.4129635,EA,0,0
University Streetcar,RAIL,33.72225054,-84.41163642,EA,0,0
