FROM ,TO ,TOTAL,SHORT,LONG
Kansas,District.5,0.085949,0,0.085949
Kansas,District.6,0,0,0
Kansas,District.7,157.791611,114.749901,43.04171
Kansas,District.8,0,0,0
Kansas,Colorado,1111.556885,11.626322,1099.930542
Kansas,Iowa,3215.03418,0,3215.03418
Kansas,Kansas,0,0,0
Kansas,South.Dakota,62.283268,0,62.283268
Kansas,Wyoming,751.378784,0,751.378784
South.Dakota,District.1,0.000239,0,0.000239
South.Dakota,District.2,0.050895,0,0.050895
South.Dakota,District.3,281.812836,79.538857,202.273987
South.Dakota,District.4,0,0,0
South.Dakota,District.5,323.835266,128.594345,195.240921
South.Dakota,District.6,0,0,0
South.Dakota,District.7,0,0,0
South.Dakota,District.8,49.751064,34.569038,15.182029
South.Dakota,Colorado,53.403847,0,53.403847
South.Dakota,Iowa,20617.77344,0,20617.77344
South.Dakota,Kansas,76.633621,0,76.633621
South.Dakota,South.Dakota,0,0,0
South.Dakota,Wyoming,234.406647,0,234.406647
Wyoming,District.1,0.000047,0,0.000047
Wyoming,District.2,0.004593,0,0.004593
Wyoming,District.3,0.000025,0,0.000025
Wyoming,District.4,0,0,0
Wyoming,District.5,458.02948,380.733978,77.295509
Wyoming,District.6,0,0,0
Wyoming,District.7,0,0,0
Wyoming,District.8,0,0,0
Wyoming,Colorado,1177.311279,0,1177.311279
Wyoming,Iowa,848.515991,0,848.515991
Wyoming,Kansas,680.405579,0,680.405579
Wyoming,South.Dakota,235.474625,0,235.474625
Wyoming,Wyoming,0,0,0
